team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NJD,2022,NJD,2022030141,NJD,NYR,HOME,20230418,Team Level,other,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.574,0.006,0.005,0.014,0.144,0.257,0.574,0.574,0.574,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.574,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.002,0.0,0.0,0.576,0.576,0.576
NJD,2022,NJD,2022030141,NJD,NYR,HOME,20230418,Team Level,all,0.4292,0.5982,0.5714,3600.0,32.601,2.694,2.299,7.728,1.185,17.688,12.406,2.601,2.46,2.376,28.0,16.0,23.0,67.0,1.0,4.0,0.0,2.0,0.0,20.0,17.0,27.0,43.0,3.0,6.0,35.0,30.0,13.0,13.0,33.0,10.0,1.0,1.272,1.183,0.239,1.0,0.0,0.0,59.511,44.0,39.552,5.0,0.49,0.546,0.546,2.638,2.415,2.37,23.825,3.583,1.501,5.415,0.865,12.196,9.44,3.555,3.747,3.717,23.0,10.0,12.0,45.0,5.0,2.0,0.0,1.0,2.0,14.0,9.0,18.0,28.0,5.0,8.0,32.0,32.0,7.0,3.0,24.0,6.0,3.0,0.808,0.806,1.969,1.0,1.0,3.0,49.624,33.0,36.148,1.0,0.349,0.112,0.112,3.82,3.998,3.977
NJD,2022,NJD,2022030141,NJD,NYR,HOME,20230418,Team Level,5on5,0.6295,0.6556,0.629,2875.0,29.32,2.326,1.995,7.072,1.061,15.375,11.172,2.239,2.093,2.014,28.0,11.0,20.0,59.0,1.0,4.0,0.0,2.0,0.0,17.0,15.0,27.0,38.0,3.0,6.0,27.0,27.0,11.0,9.0,30.0,8.0,1.0,1.135,0.953,0.239,1.0,0.0,0.0,51.511,39.0,34.552,4.0,0.412,0.546,0.546,2.192,1.97,1.932,16.188,1.369,1.12,3.807,0.589,9.334,6.78,1.35,1.533,1.512,15.0,8.0,8.0,31.0,2.0,2.0,0.0,1.0,2.0,9.0,7.0,13.0,21.0,5.0,8.0,23.0,28.0,6.0,3.0,18.0,5.0,0.0,0.71,0.659,0.0,1.0,1.0,0.0,35.624,23.0,26.148,1.0,0.232,0.112,0.112,1.49,1.668,1.656
NJD,2022,NJD,2022030141,NJD,NYR,HOME,20230418,Team Level,4on5,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.745,1.421,0.287,1.187,0.194,2.031,0.882,1.413,1.421,1.413,4.0,2.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.026,0.0,1.395,0.0,0.0,2.0,9.0,6.0,6.0,0.0,0.093,0.0,0.0,1.513,1.513,1.506
NJD,2022,NJD,2022030141,NJD,NYR,HOME,20230418,Team Level,5on4,0.6263,0.6667,0.625,480.0,3.281,0.367,0.305,0.656,0.123,2.314,1.234,0.362,0.367,0.362,0.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,5.0,2.0,1.0,3.0,3.0,2.0,0.0,0.137,0.231,0.0,0.0,0.0,0.0,8.0,5.0,5.0,0.0,0.078,0.0,0.0,0.446,0.446,0.438,2.409,0.219,0.088,0.417,0.068,0.687,1.521,0.218,0.219,0.218,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0,1.0,0.0,0.072,0.147,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.022,0.0,0.0,0.241,0.241,0.239
NJD,2022,NJD,2022030142,NJD,NYR,HOME,20230420,Team Level,other,0.7004,0.7778,0.7778,180.0,4.98,0.332,0.299,1.233,0.182,2.478,2.476,0.328,0.332,0.328,3.0,4.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,7.0,0.0,0.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,0.332,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.072,0.027,0.027,0.377,0.377,0.374,1.563,0.142,0.087,0.356,0.051,0.624,0.74,0.142,0.142,0.142,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.055,0.087,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.022,0.0,0.0,0.164,0.164,0.164
NJD,2022,NJD,2022030142,NJD,NYR,HOME,20230420,Team Level,all,0.3812,0.5128,0.4681,3600.0,30.834,2.231,1.87,7.446,1.082,17.304,14.066,2.017,2.138,1.927,24.0,20.0,16.0,60.0,1.0,4.0,1.0,0.0,1.0,21.0,17.0,23.0,43.0,9.0,21.0,33.0,39.0,6.0,15.0,35.0,7.0,2.0,0.895,0.822,0.514,0.0,0.0,1.0,56.565,44.0,41.966,10.0,0.409,0.372,0.372,2.268,2.16,2.044,37.121,3.622,2.406,8.135,1.105,20.152,14.58,3.587,3.734,3.699,30.0,20.0,7.0,57.0,5.0,1.0,0.0,0.0,0.0,25.0,19.0,25.0,45.0,6.0,15.0,26.0,39.0,1.0,6.0,37.0,9.0,4.0,0.799,0.975,1.848,1.0,2.0,2.0,59.269,50.0,51.529,5.0,0.558,0.205,0.205,3.975,4.102,4.088
NJD,2022,NJD,2022030142,NJD,NYR,HOME,20230420,Team Level,5on5,0.4155,0.5625,0.5167,2560.0,21.675,1.219,1.216,5.481,0.723,12.78,9.58,1.183,1.126,1.093,17.0,14.0,14.0,45.0,0.0,2.0,0.0,0.0,0.0,17.0,12.0,17.0,31.0,8.0,19.0,22.0,35.0,2.0,8.0,25.0,6.0,0.0,0.512,0.708,0.0,0.0,0.0,0.0,41.565,31.0,28.966,6.0,0.25,0.034,0.034,1.436,1.327,1.29,21.628,1.715,1.315,4.946,0.625,11.413,8.986,1.687,1.827,1.798,19.0,10.0,6.0,35.0,3.0,1.0,0.0,0.0,0.0,12.0,13.0,16.0,26.0,5.0,13.0,16.0,37.0,1.0,6.0,20.0,7.0,2.0,0.489,0.802,0.425,1.0,2.0,0.0,37.269,29.0,30.529,5.0,0.27,0.205,0.205,1.781,1.907,1.902
NJD,2022,NJD,2022030142,NJD,NYR,HOME,20230420,Team Level,4on5,0.0043,0.1429,0.0556,562.0,0.805,0.007,0.009,0.022,0.022,0.177,0.764,0.007,0.007,0.007,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,2.0,2.0,4.0,1.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,0.003,0.0,0.0,0.01,0.01,0.01,12.279,1.611,0.931,2.552,0.384,7.674,3.848,1.605,1.611,1.605,10.0,7.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,12.0,3.0,8.0,15.0,1.0,2.0,5.0,0.0,0.0,0.0,15.0,0.0,2.0,0.188,0.0,1.423,0.0,0.0,2.0,18.0,17.0,17.0,0.0,0.248,0.0,0.0,1.859,1.859,1.851
NJD,2022,NJD,2022030142,NJD,NYR,HOME,20230420,Team Level,5on4,0.8145,0.7143,0.7143,298.0,3.374,0.672,0.347,0.71,0.155,1.87,1.246,0.499,0.672,0.499,4.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,4.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,0.044,0.114,0.514,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.085,0.311,0.311,0.446,0.446,0.37,1.651,0.153,0.073,0.282,0.045,0.441,1.006,0.153,0.153,0.153,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.067,0.086,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.018,0.0,0.0,0.171,0.171,0.171
