team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NJD,2021,NJD,2021020017,NJD,CHI,HOME,20211015,Team Level,other,0.1059,0.0909,0.1429,170.0,0.906,0.153,0.063,0.133,0.028,0.297,0.326,0.153,0.153,0.153,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.153,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.017,0.0,0.0,0.17,0.17,0.17,4.663,1.292,0.3,0.67,0.126,2.5,1.111,1.259,1.292,1.259,5.0,1.0,4.0,10.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.065,0.454,0.772,0.0,1.0,1.0,10.0,6.0,6.0,0.0,0.095,0.0,0.0,1.387,1.387,1.351
NJD,2021,NJD,2021020017,NJD,CHI,HOME,20211015,Team Level,all,0.4401,0.5,0.5443,3657.0,31.707,3.415,2.121,6.844,0.988,17.15,12.482,3.253,3.403,3.239,29.0,14.0,7.0,50.0,4.0,3.0,1.0,8.0,2.0,7.0,19.0,25.0,39.0,4.0,10.0,27.0,17.0,17.0,18.0,25.0,14.0,4.0,0.838,1.535,1.043,1.0,2.0,1.0,50.922,43.0,43.829,11.0,0.45,0.783,0.783,3.082,3.073,2.992,27.112,4.344,1.64,5.397,0.773,13.821,10.025,4.306,4.374,4.336,27.0,9.0,14.0,50.0,3.0,0.0,0.0,14.0,1.0,7.0,11.0,24.0,33.0,2.0,4.0,29.0,15.0,7.0,9.0,21.0,12.0,3.0,0.594,1.493,2.257,0.0,1.0,2.0,49.721,36.0,35.775,4.0,0.391,0.0,0.0,4.735,4.77,4.727
NJD,2021,NJD,2021020017,NJD,CHI,HOME,20211015,Team Level,5on5,0.6748,0.5769,0.6129,2825.0,28.036,2.944,1.886,6.173,0.87,15.269,10.858,2.783,2.932,2.769,24.0,14.0,7.0,45.0,3.0,3.0,1.0,7.0,2.0,7.0,16.0,21.0,35.0,4.0,10.0,22.0,14.0,15.0,16.0,23.0,11.0,4.0,0.726,1.175,1.043,1.0,1.0,1.0,45.922,38.0,38.829,10.0,0.392,0.783,0.783,2.553,2.543,2.464,17.718,1.419,1.093,4.003,0.532,9.563,7.39,1.414,1.449,1.444,17.0,7.0,9.0,33.0,0.0,0.0,0.0,12.0,0.0,4.0,8.0,17.0,24.0,2.0,4.0,22.0,13.0,4.0,5.0,16.0,8.0,0.0,0.497,0.921,0.0,0.0,0.0,0.0,32.721,24.0,23.775,4.0,0.227,0.0,0.0,1.645,1.68,1.674
NJD,2021,NJD,2021020017,NJD,CHI,HOME,20211015,Team Level,4on5,0.0659,0.1429,0.1667,422.0,0.756,0.107,0.031,0.112,0.019,0.239,0.492,0.107,0.107,0.107,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.107,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.113,0.113,0.113,3.979,1.516,0.215,0.647,0.093,1.527,1.002,1.516,1.516,1.516,4.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,4.0,0.0,0.0,5.0,0.0,1.0,2.0,3.0,0.0,2.0,0.031,0.0,1.485,0.0,0.0,1.0,6.0,5.0,5.0,0.0,0.062,0.0,0.0,1.578,1.578,1.578
NJD,2021,NJD,2021020017,NJD,CHI,HOME,20211015,Team Level,5on4,0.6444,0.75,0.75,240.0,2.01,0.212,0.141,0.427,0.071,1.344,0.805,0.211,0.212,0.211,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.111,0.101,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.034,0.0,0.0,0.247,0.247,0.245,0.752,0.117,0.033,0.077,0.021,0.23,0.522,0.117,0.117,0.117,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.124,0.124,0.124
NJD,2021,NJD,2021020043,NJD,SEA,HOME,20211019,Team Level,other,0.6338,0.1667,0.25,172.0,0.815,0.848,0.008,0.011,0.007,0.069,0.057,0.848,0.848,0.848,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.848,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.002,0.0,0.0,0.85,0.85,0.85,2.039,0.49,0.21,0.324,0.094,1.559,0.324,0.477,0.49,0.477,1.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.028,0.0,0.462,0.0,0.0,1.0,5.0,3.0,3.0,0.0,0.09,0.0,0.0,0.58,0.58,0.565
NJD,2021,NJD,2021020043,NJD,SEA,HOME,20211019,Team Level,all,0.631,0.4828,0.5114,3600.0,34.225,4.683,2.249,7.387,0.994,17.507,12.181,4.606,4.713,4.635,33.0,12.0,11.0,56.0,4.0,1.0,1.0,11.0,2.0,11.0,16.0,29.0,41.0,8.0,25.0,38.0,16.0,16.0,11.0,23.0,17.0,5.0,0.73,2.082,1.87,0.0,2.0,2.0,58.166,45.0,46.289,7.0,0.492,0.226,0.226,4.949,4.978,4.89,31.245,2.738,2.303,7.946,1.077,17.353,11.583,2.68,2.731,2.673,29.0,14.0,17.0,60.0,2.0,4.0,1.0,9.0,3.0,15.0,10.0,27.0,41.0,6.0,21.0,40.0,12.0,15.0,10.0,32.0,8.0,3.0,0.611,1.05,1.077,0.0,0.0,2.0,57.578,43.0,41.664,7.0,0.565,0.593,0.593,2.71,2.701,2.655
NJD,2021,NJD,2021020043,NJD,SEA,HOME,20211019,Team Level,5on5,0.5976,0.5,0.5294,2684.0,27.689,3.189,1.785,6.072,0.804,13.811,10.339,3.156,3.219,3.185,26.0,10.0,7.0,43.0,3.0,1.0,1.0,10.0,2.0,5.0,15.0,23.0,33.0,6.0,21.0,27.0,15.0,13.0,9.0,18.0,14.0,4.0,0.499,1.668,1.022,0.0,2.0,1.0,45.166,36.0,37.289,5.0,0.377,0.226,0.226,3.34,3.369,3.333,23.542,2.147,1.573,5.785,0.746,12.278,9.47,2.104,2.14,2.097,22.0,10.0,11.0,43.0,1.0,3.0,1.0,8.0,2.0,9.0,9.0,21.0,31.0,6.0,21.0,32.0,12.0,12.0,9.0,22.0,8.0,2.0,0.482,1.05,0.615,0.0,0.0,1.0,40.578,32.0,30.664,7.0,0.331,0.578,0.578,1.9,1.891,1.862
NJD,2021,NJD,2021020043,NJD,SEA,HOME,20211019,Team Level,4on5,0.0,0.0769,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.664,0.1,0.52,1.837,0.238,3.516,1.789,0.099,0.1,0.099,6.0,2.0,4.0,12.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,6.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,0.145,0.015,0.015,0.23,0.23,0.228
NJD,2021,NJD,2021020043,NJD,SEA,HOME,20211019,Team Level,5on4,1.0,1.0,1.0,360.0,5.721,0.645,0.456,1.304,0.183,3.627,1.785,0.602,0.645,0.602,6.0,2.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,6.0,8.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,3.0,0.0,0.231,0.414,0.0,0.0,0.0,0.0,11.0,8.0,8.0,1.0,0.113,0.0,0.0,0.758,0.758,0.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJD,2021,NJD,2021020056,NJD,WSH,HOME,20211021,Team Level,other,0.7895,0.6667,0.5,120.0,0.778,0.18,0.049,0.209,0.031,0.273,0.258,0.178,0.18,0.178,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.011,0.0,0.0,0.192,0.192,0.189,0.725,0.048,0.031,0.171,0.024,0.324,0.402,0.048,0.048,0.048,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.007,0.0,0.0,0.055,0.055,0.055
NJD,2021,NJD,2021020056,NJD,WSH,HOME,20211021,Team Level,all,0.4839,0.5049,0.4615,3600.0,26.932,3.103,1.784,5.814,0.879,14.039,10.382,3.005,2.819,2.731,26.0,10.0,16.0,52.0,1.0,2.0,0.0,4.0,1.0,14.0,14.0,25.0,35.0,4.0,8.0,21.0,18.0,15.0,13.0,20.0,14.0,2.0,0.714,1.675,0.714,0.0,1.0,0.0,46.526,36.0,32.662,8.0,0.382,0.714,0.714,2.771,2.537,2.501,31.306,3.31,1.984,7.528,1.055,16.031,12.091,3.242,3.716,3.639,27.0,15.0,9.0,51.0,4.0,3.0,1.0,9.0,2.0,9.0,15.0,23.0,38.0,2.0,4.0,27.0,11.0,12.0,6.0,29.0,8.0,5.0,0.92,1.093,1.298,0.0,1.0,3.0,58.259,42.0,47.074,3.0,0.422,0.527,0.527,3.206,3.59,3.526
NJD,2021,NJD,2021020056,NJD,WSH,HOME,20211021,Team Level,5on5,0.4609,0.4945,0.4638,3066.0,24.03,2.749,1.566,5.034,0.775,12.654,9.222,2.658,2.465,2.385,22.0,10.0,13.0,45.0,0.0,2.0,0.0,4.0,1.0,13.0,12.0,22.0,32.0,4.0,8.0,18.0,18.0,11.0,13.0,18.0,12.0,2.0,0.64,1.395,0.714,0.0,0.0,0.0,39.526,32.0,28.662,8.0,0.328,0.714,0.714,2.363,2.13,2.103,27.831,3.216,1.74,6.751,0.926,13.663,10.705,3.15,3.621,3.547,24.0,13.0,9.0,46.0,4.0,2.0,1.0,8.0,1.0,8.0,14.0,20.0,33.0,2.0,4.0,20.0,10.0,12.0,2.0,24.0,8.0,5.0,0.825,1.093,1.298,0.0,1.0,3.0,53.259,37.0,42.074,1.0,0.364,0.511,0.511,3.069,3.453,3.394
NJD,2021,NJD,2021020056,NJD,WSH,HOME,20211021,Team Level,4on5,0.3649,0.3333,0.2,313.0,0.745,0.027,0.033,0.146,0.02,0.28,0.493,0.027,0.027,0.027,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.009,0.0,0.0,0.036,0.036,0.036,2.75,0.047,0.213,0.606,0.106,2.044,0.984,0.044,0.047,0.044,2.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.051,0.016,0.016,0.081,0.081,0.077
NJD,2021,NJD,2021020056,NJD,WSH,HOME,20211021,Team Level,5on4,1.0,1.0,1.0,101.0,1.378,0.146,0.137,0.424,0.052,0.831,0.408,0.142,0.146,0.142,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.047,0.099,0.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.033,0.0,0.0,0.179,0.179,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NJD,2021,NJD,2021020069,NJD,BUF,HOME,20211023,Team Level,other,0.8442,0.75,0.8571,156.0,4.774,0.688,0.338,0.991,0.215,2.055,1.713,0.653,0.688,0.653,5.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,1.0,0.154,0.28,0.253,1.0,0.0,0.0,6.0,6.0,6.0,0.0,0.088,0.253,0.253,0.523,0.523,0.519,0.806,0.127,0.032,0.104,0.022,0.275,0.44,0.127,0.127,0.127,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.009,0.0,0.0,0.136,0.136,0.136
NJD,2021,NJD,2021020069,NJD,BUF,HOME,20211023,Team Level,all,0.6199,0.6087,0.6196,3789.0,41.935,4.28,2.654,10.259,1.526,21.988,16.293,4.098,4.077,3.905,39.0,18.0,13.0,70.0,2.0,5.0,1.0,8.0,2.0,15.0,25.0,37.0,55.0,2.0,4.0,33.0,25.0,17.0,13.0,42.0,11.0,4.0,1.365,1.582,1.333,1.0,0.0,1.0,65.865,57.0,53.812,6.0,0.578,1.218,1.218,3.639,3.444,3.375,25.926,2.624,1.508,5.891,1.134,13.449,10.395,2.606,2.807,2.788,25.0,10.0,10.0,45.0,1.0,2.0,0.0,7.0,0.0,9.0,16.0,24.0,34.0,4.0,8.0,17.0,30.0,12.0,6.0,23.0,9.0,3.0,0.667,1.081,0.876,0.0,0.0,1.0,48.307,35.0,37.654,1.0,0.322,0.266,0.266,2.68,2.862,2.843
