team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TBL,2021,TBL,2021020001,TBL,PIT,HOME,20211012,Team Level,other,0.2149,0.625,0.625,126.0,3.707,0.479,0.377,0.585,0.115,2.601,0.844,0.456,0.479,0.456,4.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.103,0.376,0.0,1.0,1.0,0.0,5.0,5.0,5.0,0.0,0.1,0.0,0.0,0.579,0.579,0.552,1.827,1.75,0.052,0.038,0.044,0.514,0.603,1.732,1.75,1.732,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.75,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.015,0.0,0.0,1.765,1.765,1.746
TBL,2021,TBL,2021020001,TBL,PIT,HOME,20211012,Team Level,all,0.3186,0.4867,0.4598,3600.0,28.896,2.354,1.9,6.728,0.929,16.855,11.234,2.195,2.21,2.062,28.0,12.0,15.0,55.0,2.0,3.0,0.0,9.0,0.0,14.0,12.0,26.0,38.0,0.0,0.0,35.0,31.0,6.0,6.0,29.0,9.0,2.0,0.636,1.044,0.674,1.0,1.0,0.0,50.583,40.0,36.978,4.0,0.416,0.77,0.77,2.0,1.905,1.854,33.695,5.034,2.221,6.963,1.005,18.525,13.252,4.98,5.312,5.255,35.0,12.0,11.0,58.0,6.0,1.0,0.0,7.0,3.0,14.0,16.0,29.0,41.0,1.0,2.0,34.0,28.0,2.0,1.0,31.0,9.0,7.0,1.073,1.089,2.873,1.0,1.0,4.0,63.626,47.0,51.16,1.0,0.466,0.129,0.129,5.371,5.674,5.62
TBL,2021,TBL,2021020001,TBL,PIT,HOME,20211012,Team Level,5on5,0.3356,0.4653,0.4286,3234.0,23.747,1.659,1.339,5.972,0.777,13.281,9.972,1.534,1.515,1.402,23.0,10.0,14.0,47.0,0.0,3.0,0.0,8.0,0.0,11.0,11.0,23.0,33.0,0.0,0.0,30.0,31.0,6.0,6.0,27.0,4.0,2.0,0.533,0.452,0.674,0.0,0.0,0.0,42.583,33.0,29.978,4.0,0.271,0.77,0.77,1.159,1.065,1.055,31.868,3.284,2.169,6.925,0.961,18.011,12.65,3.249,3.562,3.523,32.0,12.0,10.0,54.0,3.0,1.0,0.0,7.0,3.0,14.0,16.0,29.0,41.0,1.0,2.0,31.0,27.0,2.0,1.0,31.0,9.0,4.0,1.073,1.089,1.123,1.0,1.0,1.0,59.626,44.0,48.16,1.0,0.452,0.129,0.129,3.606,3.91,3.874
TBL,2021,TBL,2021020001,TBL,PIT,HOME,20211012,Team Level,4on5,0.0,0.5,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBL,2021,TBL,2021020001,TBL,PIT,HOME,20211012,Team Level,5on4,1.0,1.0,1.0,120.0,1.442,0.216,0.183,0.172,0.038,0.973,0.418,0.205,0.216,0.205,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.216,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.045,0.0,0.0,0.262,0.262,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBL,2021,TBL,2021020009,TBL,DET,AWAY,20211014,Team Level,other,0.7603,0.4706,0.5385,278.0,5.733,1.548,0.353,0.895,0.169,2.274,1.76,1.546,1.548,1.546,6.0,1.0,1.0,8.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,2.0,3.0,0.054,0.277,1.217,0.0,1.0,2.0,8.0,7.0,7.0,0.0,0.105,0.0,0.0,1.653,1.653,1.65,4.4,0.488,0.266,0.803,0.146,2.334,1.964,0.471,0.488,0.471,5.0,1.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0,0.0,5.0,1.0,2.0,0.0,2.0,4.0,0.0,0.026,0.462,0.0,0.0,2.0,0.0,9.0,6.0,6.0,0.0,0.076,0.0,0.0,0.564,0.564,0.544
TBL,2021,TBL,2021020009,TBL,DET,AWAY,20211014,Team Level,all,0.5182,0.6053,0.6196,3763.0,42.814,4.736,3.083,8.581,1.445,21.919,17.235,4.644,4.763,4.67,48.0,9.0,12.0,69.0,7.0,1.0,0.0,9.0,1.0,18.0,21.0,41.0,50.0,9.0,20.0,30.0,13.0,5.0,3.0,42.0,10.0,5.0,1.454,1.313,1.969,3.0,2.0,2.0,67.931,57.0,56.124,1.0,0.676,0.168,0.168,5.244,5.275,5.178,27.25,4.404,2.078,5.28,0.834,12.848,9.556,4.152,4.432,4.178,26.0,9.0,10.0,45.0,6.0,4.0,3.0,4.0,0.0,9.0,12.0,20.0,29.0,9.0,26.0,26.0,16.0,4.0,8.0,15.0,15.0,5.0,0.415,1.843,2.146,0.0,3.0,3.0,45.932,35.0,35.58,5.0,0.491,1.908,1.908,2.987,2.989,2.907
TBL,2021,TBL,2021020009,TBL,DET,AWAY,20211014,Team Level,5on5,0.4949,0.6364,0.6545,2432.0,27.249,2.272,2.005,5.876,0.766,14.416,10.666,2.184,2.298,2.211,29.0,7.0,6.0,42.0,2.0,1.0,0.0,8.0,1.0,14.0,10.0,27.0,34.0,8.0,18.0,20.0,11.0,2.0,1.0,28.0,7.0,1.0,0.98,0.905,0.387,1.0,1.0,0.0,40.931,36.0,35.124,1.0,0.411,0.168,0.168,2.514,2.546,2.454,14.523,2.319,0.873,3.212,0.465,6.898,5.233,2.228,2.348,2.254,16.0,3.0,5.0,24.0,4.0,3.0,3.0,4.0,0.0,2.0,6.0,12.0,15.0,7.0,22.0,15.0,10.0,1.0,4.0,12.0,4.0,3.0,0.344,0.392,1.584,0.0,1.0,3.0,24.932,19.0,19.58,4.0,0.179,1.584,1.584,0.914,0.916,0.913
TBL,2021,TBL,2021020009,TBL,DET,AWAY,20211014,Team Level,4on5,0.3027,0.3571,0.3846,484.0,3.539,0.53,0.218,0.486,0.138,1.289,2.339,0.53,0.53,0.53,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.034,0.131,0.365,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.05,0.0,0.0,0.579,0.579,0.579,6.625,1.221,0.776,1.092,0.181,3.136,1.594,1.078,1.221,1.078,4.0,4.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,8.0,2.0,4.0,3.0,2.0,0.0,3.0,1.0,6.0,1.0,0.045,0.853,0.324,0.0,0.0,0.0,9.0,8.0,8.0,0.0,0.2,0.324,0.324,1.097,1.097,1.039
TBL,2021,TBL,2021020009,TBL,DET,AWAY,20211014,Team Level,5on4,0.5079,0.8235,0.8182,569.0,6.293,0.387,0.507,1.324,0.372,3.94,2.47,0.384,0.387,0.384,8.0,1.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,7.0,0.0,0.0,4.0,0.0,0.0,2.0,9.0,0.0,0.0,0.387,0.0,0.0,2.0,0.0,0.0,14.0,9.0,9.0,0.0,0.11,0.0,0.0,0.497,0.497,0.494,1.701,0.375,0.163,0.174,0.042,0.481,0.765,0.375,0.375,0.375,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.137,0.238,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.037,0.0,0.0,0.412,0.412,0.412
