team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
UTA,2024,UTA,2024020005,UTA,CHI,HOME,20241008,Team Level,other,0.9137,0.4286,0.6,78.0,1.796,1.928,0.056,0.037,0.042,0.387,0.55,1.928,1.928,1.928,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.928,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.013,0.0,0.0,1.941,1.941,1.941,1.354,0.182,0.086,0.219,0.044,1.136,0.333,0.033,0.182,0.033,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.075,0.107,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.029,0.0,0.0,0.211,0.211,0.038
UTA,2024,UTA,2024020005,UTA,CHI,HOME,20241008,Team Level,all,0.6342,0.4846,0.5111,3600.0,31.914,4.999,1.963,7.42,1.228,17.388,13.003,4.92,5.027,4.948,27.0,19.0,17.0,63.0,5.0,3.0,0.0,1.0,0.0,20.0,17.0,22.0,41.0,4.0,11.0,30.0,23.0,1.0,22.0,27.0,14.0,5.0,0.917,1.584,2.498,1.0,3.0,1.0,66.01,46.0,47.691,11.0,0.414,0.602,0.602,4.811,4.834,4.786,32.379,2.883,1.966,7.945,1.053,17.712,12.441,2.69,2.875,2.682,26.0,18.0,23.0,67.0,2.0,4.0,0.0,5.0,0.0,18.0,15.0,24.0,42.0,2.0,7.0,30.0,31.0,5.0,16.0,30.0,10.0,4.0,0.756,1.006,1.121,0.0,2.0,0.0,64.584,44.0,42.504,6.0,0.429,0.819,0.819,2.492,2.487,2.294
UTA,2024,UTA,2024020005,UTA,CHI,HOME,20241008,Team Level,5on5,0.5024,0.4821,0.4935,3042.0,26.226,2.699,1.705,6.528,0.986,15.286,10.797,2.621,2.728,2.648,24.0,14.0,16.0,54.0,4.0,3.0,0.0,1.0,0.0,19.0,11.0,20.0,34.0,3.0,9.0,26.0,22.0,1.0,20.0,24.0,12.0,2.0,0.82,1.309,0.57,1.0,3.0,0.0,57.01,38.0,39.691,10.0,0.353,0.602,0.602,2.451,2.474,2.425,28.843,2.673,1.718,7.301,0.947,14.995,11.366,2.63,2.665,2.622,24.0,15.0,19.0,58.0,2.0,4.0,0.0,4.0,0.0,15.0,14.0,22.0,37.0,2.0,7.0,26.0,31.0,5.0,11.0,26.0,9.0,4.0,0.653,0.9,1.121,0.0,2.0,0.0,55.584,39.0,37.504,5.0,0.359,0.819,0.819,2.213,2.208,2.188
UTA,2024,UTA,2024020005,UTA,CHI,HOME,20241008,Team Level,4on5,0.8862,0.375,0.5,360.0,2.442,0.218,0.114,0.596,0.155,0.753,1.165,0.218,0.218,0.218,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.04,0.178,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.027,0.0,0.0,0.245,0.245,0.245,2.182,0.028,0.162,0.426,0.062,1.582,0.742,0.027,0.028,0.027,2.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,0.041,0.0,0.0,0.069,0.069,0.068
UTA,2024,UTA,2024020005,UTA,CHI,HOME,20241008,Team Level,5on4,1.0,1.0,1.0,120.0,1.45,0.154,0.087,0.259,0.046,0.963,0.491,0.154,0.154,0.154,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.057,0.097,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.021,0.0,0.0,0.174,0.174,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTA,2024,UTA,2024020016,UTA,NYI,AWAY,20241010,Team Level,other,1.0,1.0,1.0,0.0,2.455,0.453,0.16,0.388,0.063,0.853,1.084,0.453,0.453,0.453,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.052,0.148,0.252,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.049,0.0,0.0,0.501,0.501,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTA,2024,UTA,2024020016,UTA,NYI,AWAY,20241010,Team Level,all,0.5768,0.4754,0.481,3738.0,29.362,3.892,1.719,6.327,0.856,14.158,11.047,3.87,4.011,3.987,26.0,12.0,20.0,58.0,5.0,0.0,0.0,2.0,0.0,15.0,16.0,21.0,33.0,4.0,10.0,36.0,13.0,11.0,20.0,22.0,12.0,4.0,0.652,1.468,1.772,0.0,2.0,3.0,59.88,38.0,39.154,11.0,0.386,0.0,0.0,4.278,4.413,4.385,29.81,2.855,2.064,7.207,1.026,16.823,11.026,2.739,2.807,2.692,27.0,14.0,23.0,64.0,4.0,2.0,1.0,9.0,0.0,14.0,12.0,23.0,37.0,2.0,4.0,33.0,24.0,2.0,11.0,27.0,12.0,2.0,0.827,1.521,0.507,1.0,3.0,0.0,62.769,41.0,40.164,5.0,0.463,0.366,0.366,2.951,2.892,2.831
UTA,2024,UTA,2024020016,UTA,NYI,AWAY,20241010,Team Level,5on5,0.6721,0.5521,0.541,2983.0,25.26,2.228,1.511,5.818,0.767,12.948,9.728,2.205,2.347,2.323,21.0,12.0,20.0,53.0,2.0,0.0,0.0,2.0,0.0,14.0,15.0,19.0,31.0,4.0,10.0,24.0,12.0,9.0,17.0,21.0,11.0,1.0,0.6,1.32,0.308,0.0,1.0,1.0,54.88,33.0,34.154,9.0,0.314,0.0,0.0,2.542,2.677,2.649,20.347,1.087,1.191,5.473,0.668,11.712,7.868,1.081,1.04,1.034,16.0,12.0,15.0,43.0,2.0,0.0,0.0,4.0,0.0,11.0,11.0,14.0,26.0,2.0,4.0,27.0,24.0,2.0,8.0,25.0,3.0,0.0,0.696,0.392,0.0,1.0,1.0,0.0,41.769,28.0,27.164,5.0,0.244,0.0,0.0,1.331,1.272,1.266
UTA,2024,UTA,2024020016,UTA,NYI,AWAY,20241010,Team Level,4on5,0.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.737,1.368,0.756,1.531,0.311,4.648,2.387,1.293,1.368,1.293,9.0,2.0,8.0,19.0,1.0,1.0,0.0,5.0,0.0,3.0,1.0,8.0,10.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,8.0,1.0,0.131,1.0,0.237,0.0,1.0,0.0,19.0,11.0,11.0,0.0,0.193,0.237,0.237,1.324,1.324,1.272
UTA,2024,UTA,2024020016,UTA,NYI,AWAY,20241010,Team Level,5on4,0.7523,0.5,0.5,100.0,1.648,1.212,0.048,0.121,0.026,0.358,0.235,1.212,1.212,1.212,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.212,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.023,0.0,0.0,1.235,1.235,1.235,1.726,0.399,0.117,0.202,0.047,0.464,0.771,0.364,0.399,0.364,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.129,0.27,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.026,0.129,0.129,0.296,0.296,0.293
