team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
COL,2009,COL,2009030151,COL,S.J,AWAY,20100414,Team Level,other,0.6338,0.6,0.6,173.0,2.024,0.18,0.133,0.446,0.06,1.228,0.953,0.18,0.18,0.18,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.074,0.106,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.039,0.0,0.0,0.219,0.219,0.219,1.196,0.104,0.066,0.238,0.05,0.708,0.834,0.104,0.104,0.104,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.016,0.0,0.0,0.12,0.12,0.12
COL,2009,COL,2009030151,COL,S.J,AWAY,20100414,Team Level,all,0.475,0.4412,0.4667,3600.0,26.19,1.976,1.854,5.167,0.769,13.903,11.331,1.952,2.057,2.032,30.0,5.0,10.0,45.0,2.0,2.0,0.0,7.0,0.0,13.0,11.0,28.0,33.0,3.0,6.0,24.0,32.0,7.0,8.0,30.0,4.0,1.0,1.042,0.561,0.374,1.0,0.0,1.0,46.926,35.0,36.374,3.0,0.414,0.243,0.243,2.147,2.232,2.21,28.67,2.184,1.877,6.882,0.947,16.763,11.346,2.114,2.125,2.055,26.0,14.0,17.0,57.0,1.0,2.0,0.0,8.0,1.0,10.0,18.0,25.0,39.0,3.0,6.0,29.0,36.0,6.0,9.0,30.0,10.0,0.0,0.824,1.36,0.0,1.0,0.0,0.0,55.24,40.0,38.92,3.0,0.419,0.359,0.359,2.245,2.174,2.135
COL,2009,COL,2009030151,COL,S.J,AWAY,20100414,Team Level,5on5,0.5273,0.4634,0.5088,3015.0,21.788,1.391,1.434,4.36,0.648,11.591,9.575,1.368,1.472,1.448,25.0,4.0,9.0,38.0,1.0,2.0,0.0,5.0,0.0,11.0,10.0,24.0,28.0,3.0,6.0,21.0,29.0,6.0,8.0,26.0,3.0,0.0,0.936,0.455,0.0,1.0,0.0,0.0,39.926,29.0,30.374,3.0,0.291,0.243,0.243,1.439,1.523,1.505,20.124,1.247,1.195,4.77,0.612,11.632,8.544,1.247,1.188,1.187,18.0,10.0,16.0,44.0,1.0,0.0,0.0,4.0,0.0,8.0,15.0,17.0,27.0,3.0,6.0,19.0,34.0,5.0,8.0,22.0,6.0,0.0,0.456,0.791,0.0,1.0,0.0,0.0,42.24,28.0,26.92,3.0,0.245,0.0,0.0,1.491,1.42,1.42
COL,2009,COL,2009030151,COL,S.J,AWAY,20100414,Team Level,4on5,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,0.834,0.616,1.875,0.284,4.423,1.968,0.764,0.834,0.764,8.0,2.0,1.0,11.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,8.0,10.0,0.0,0.0,5.0,1.0,0.0,1.0,6.0,4.0,0.0,0.265,0.569,0.0,0.0,0.0,0.0,11.0,10.0,10.0,0.0,0.159,0.359,0.359,0.634,0.634,0.596
COL,2009,COL,2009030151,COL,S.J,AWAY,20100414,Team Level,5on4,1.0,1.0,1.0,172.0,2.378,0.405,0.287,0.361,0.061,1.084,0.803,0.404,0.405,0.404,3.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.031,0.0,0.374,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.084,0.0,0.0,0.489,0.489,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,2009,COL,2009030152,COL,S.J,AWAY,20100416,Team Level,other,0.3454,0.5714,0.6,215.0,2.074,0.067,0.115,0.478,0.076,1.321,0.943,0.067,0.067,0.067,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.033,0.0,0.0,0.1,0.1,0.1,1.536,0.127,0.124,0.27,0.038,0.882,0.559,0.127,0.127,0.127,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.016,0.111,0.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.031,0.0,0.0,0.159,0.159,0.159
COL,2009,COL,2009030152,COL,S.J,AWAY,20100416,Team Level,all,0.243,0.3007,0.299,3922.0,21.108,1.991,1.583,4.871,0.702,11.601,8.252,1.985,2.081,2.075,22.0,7.0,14.0,43.0,5.0,2.0,1.0,5.0,0.0,7.0,10.0,17.0,24.0,7.0,14.0,34.0,29.0,6.0,9.0,23.0,3.0,3.0,0.709,0.367,0.915,2.0,2.0,1.0,44.762,29.0,30.318,5.0,0.371,0.247,0.247,2.115,2.199,2.19,50.301,6.204,4.11,10.848,1.606,27.732,17.5,5.829,6.037,5.667,52.0,16.0,32.0,100.0,6.0,6.0,1.0,13.0,0.0,25.0,18.0,46.0,62.0,5.0,10.0,44.0,38.0,7.0,13.0,38.0,24.0,6.0,1.291,3.119,1.795,1.0,2.0,3.0,96.37,68.0,65.674,2.0,0.944,1.318,1.318,5.83,5.671,5.378
COL,2009,COL,2009030152,COL,S.J,AWAY,20100416,Team Level,5on5,0.2906,0.3038,0.3273,2588.0,12.908,1.096,0.811,3.06,0.421,7.011,5.6,1.095,1.186,1.184,15.0,3.0,6.0,24.0,5.0,1.0,1.0,3.0,0.0,3.0,6.0,10.0,13.0,6.0,12.0,21.0,26.0,5.0,6.0,14.0,3.0,1.0,0.522,0.367,0.207,2.0,2.0,1.0,25.762,18.0,19.318,4.0,0.169,0.207,0.207,1.059,1.142,1.142,27.366,2.675,1.82,6.173,0.799,14.787,10.746,2.589,2.508,2.426,27.0,10.0,18.0,55.0,3.0,3.0,1.0,6.0,0.0,12.0,13.0,24.0,34.0,4.0,8.0,29.0,33.0,5.0,7.0,23.0,13.0,1.0,0.58,1.735,0.36,1.0,1.0,1.0,51.37,37.0,34.674,2.0,0.377,0.744,0.744,2.308,2.15,2.122
COL,2009,COL,2009030152,COL,S.J,AWAY,20100416,Team Level,4on5,0.0768,0.0667,0.0333,757.0,0.931,0.283,0.056,0.129,0.027,0.191,0.315,0.283,0.283,0.283,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.283,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.013,0.0,0.0,0.296,0.296,0.296,21.4,3.402,2.166,4.406,0.769,12.064,6.194,3.113,3.402,3.113,23.0,6.0,13.0,42.0,2.0,3.0,0.0,6.0,0.0,13.0,5.0,21.0,27.0,0.0,0.0,12.0,1.0,0.0,5.0,14.0,10.0,5.0,0.694,1.273,1.434,0.0,0.0,2.0,42.0,29.0,29.0,0.0,0.535,0.573,0.573,3.363,3.363,3.097
COL,2009,COL,2009030152,COL,S.J,AWAY,20100416,Team Level,5on4,1.0,1.0,1.0,362.0,5.196,0.546,0.6,1.204,0.178,3.077,1.394,0.541,0.546,0.541,4.0,3.0,5.0,12.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0,7.0,1.0,2.0,5.0,2.0,0.0,2.0,6.0,0.0,1.0,0.12,0.0,0.426,0.0,0.0,0.0,12.0,7.0,7.0,0.0,0.156,0.041,0.041,0.661,0.661,0.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
