team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
FLA,2011,FLA,2011030131,FLA,N.J,HOME,20120413,Team Level,other,0.4745,0.8333,0.8,208.0,2.742,0.065,0.139,0.672,0.096,1.541,1.487,0.065,0.065,0.065,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.031,0.0,0.0,0.097,0.097,0.096,0.717,0.072,0.043,0.115,0.022,0.586,0.163,0.072,0.072,0.072,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.014,0.0,0.0,0.085,0.085,0.085
FLA,2011,FLA,2011030131,FLA,N.J,HOME,20120413,Team Level,all,0.4103,0.4396,0.4304,3600.0,25.236,1.913,1.745,5.3,0.794,13.484,10.764,1.879,1.824,1.791,26.0,8.0,6.0,40.0,2.0,1.0,0.0,1.0,0.0,13.0,17.0,24.0,32.0,6.0,14.0,24.0,49.0,5.0,5.0,25.0,8.0,1.0,0.709,0.994,0.21,0.0,1.0,1.0,37.929,34.0,32.215,4.0,0.388,0.126,0.126,2.175,2.078,2.044,33.744,2.749,2.883,7.649,1.126,18.0,12.593,2.68,2.845,2.773,38.0,7.0,6.0,51.0,3.0,7.0,0.0,4.0,1.0,10.0,20.0,35.0,42.0,4.0,8.0,16.0,44.0,7.0,2.0,36.0,6.0,3.0,0.972,0.656,1.121,1.0,1.0,1.0,53.603,45.0,46.789,0.0,0.714,0.594,0.594,2.869,2.965,2.908
FLA,2011,FLA,2011030131,FLA,N.J,HOME,20120413,Team Level,5on5,0.4271,0.4259,0.4468,2445.0,15.581,0.981,1.009,3.474,0.511,8.386,6.639,0.968,0.892,0.88,16.0,5.0,2.0,23.0,1.0,1.0,0.0,1.0,0.0,8.0,10.0,15.0,20.0,5.0,12.0,16.0,35.0,4.0,5.0,18.0,3.0,0.0,0.553,0.429,0.0,0.0,1.0,0.0,20.929,21.0,19.214,4.0,0.209,0.126,0.126,1.064,0.967,0.96,18.485,1.316,1.193,4.378,0.59,10.502,8.022,1.274,1.411,1.367,21.0,5.0,5.0,31.0,2.0,2.0,0.0,3.0,1.0,6.0,12.0,19.0,24.0,2.0,4.0,10.0,37.0,7.0,2.0,20.0,5.0,1.0,0.543,0.538,0.235,1.0,1.0,0.0,33.603,26.0,27.789,0.0,0.243,0.347,0.347,1.211,1.308,1.264
FLA,2011,FLA,2011030131,FLA,N.J,HOME,20120413,Team Level,4on5,0.1258,0.0952,0.1,713.0,1.583,0.196,0.074,0.193,0.04,0.49,1.008,0.196,0.196,0.196,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,10.0,1.0,0.0,1.0,1.0,0.0,0.01,0.186,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.017,0.0,0.0,0.213,0.213,0.213,14.542,1.362,1.647,3.156,0.514,6.912,4.408,1.334,1.362,1.334,17.0,1.0,1.0,19.0,1.0,5.0,0.0,1.0,0.0,3.0,8.0,16.0,17.0,0.0,0.0,5.0,3.0,0.0,0.0,15.0,1.0,2.0,0.358,0.118,0.886,0.0,0.0,1.0,19.0,18.0,18.0,0.0,0.457,0.247,0.247,1.572,1.572,1.558
FLA,2011,FLA,2011030131,FLA,N.J,HOME,20120413,Team Level,5on4,1.0,1.0,1.0,234.0,5.33,0.67,0.523,0.962,0.147,3.067,1.63,0.65,0.67,0.65,5.0,2.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,1.0,0.081,0.379,0.21,0.0,0.0,1.0,10.0,7.0,7.0,0.0,0.131,0.0,0.0,0.801,0.801,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLA,2011,FLA,2011030132,FLA,N.J,HOME,20120415,Team Level,other,0.9494,0.7,0.875,177.0,5.139,1.594,0.517,0.84,0.201,3.099,0.749,1.451,1.594,1.451,6.0,1.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,3.0,0.129,0.31,1.154,0.0,0.0,2.0,7.0,7.0,7.0,0.0,0.161,0.209,0.209,1.545,1.545,1.455,0.744,0.085,0.06,0.133,0.024,0.479,0.219,0.085,0.085,0.085,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.021,0.0,0.0,0.106,0.106,0.106
FLA,2011,FLA,2011030132,FLA,N.J,HOME,20120415,Team Level,all,0.587,0.4563,0.4795,3600.0,24.635,3.242,1.738,5.255,0.831,13.805,10.129,3.089,3.246,3.093,24.0,11.0,12.0,47.0,4.0,2.0,2.0,4.0,0.0,13.0,12.0,20.0,31.0,2.0,4.0,29.0,50.0,5.0,2.0,23.0,8.0,4.0,0.642,1.032,1.568,1.0,0.0,3.0,48.734,35.0,36.042,2.0,0.418,0.623,0.623,3.038,3.044,2.952,27.789,2.281,1.934,6.771,0.943,14.732,11.339,2.23,2.272,2.221,25.0,13.0,18.0,56.0,2.0,5.0,0.0,4.0,0.0,17.0,10.0,23.0,36.0,4.0,8.0,24.0,52.0,3.0,0.0,26.0,12.0,0.0,0.728,1.553,0.0,1.0,1.0,0.0,53.617,38.0,36.611,0.0,0.413,0.513,0.513,2.181,2.171,2.144
FLA,2011,FLA,2011030132,FLA,N.J,HOME,20120415,Team Level,5on5,0.3158,0.4138,0.4068,3020.0,16.428,1.002,0.986,3.853,0.54,9.315,8.305,1.001,1.006,1.006,15.0,9.0,12.0,36.0,1.0,0.0,0.0,3.0,0.0,8.0,12.0,14.0,23.0,2.0,4.0,20.0,47.0,3.0,2.0,20.0,4.0,0.0,0.488,0.514,0.0,1.0,0.0,0.0,37.734,24.0,25.042,2.0,0.202,0.0,0.0,1.203,1.209,1.209,25.576,2.171,1.732,6.355,0.871,13.43,10.442,2.12,2.162,2.111,23.0,12.0,16.0,51.0,2.0,5.0,0.0,4.0,0.0,15.0,9.0,21.0,33.0,4.0,8.0,21.0,47.0,3.0,0.0,24.0,11.0,0.0,0.702,1.469,0.0,1.0,1.0,0.0,48.617,35.0,33.611,0.0,0.359,0.513,0.513,2.017,2.007,1.98
FLA,2011,FLA,2011030132,FLA,N.J,HOME,20120415,Team Level,4on5,0.7759,0.3333,0.3333,240.0,0.733,0.09,0.054,0.08,0.018,0.245,0.513,0.09,0.09,0.09,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.012,0.0,0.0,0.102,0.102,0.102,1.469,0.026,0.141,0.284,0.048,0.823,0.678,0.026,0.026,0.026,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.033,0.0,0.0,0.059,0.059,0.059
FLA,2011,FLA,2011030132,FLA,N.J,HOME,20120415,Team Level,5on4,1.0,1.0,1.0,163.0,2.336,0.557,0.181,0.482,0.073,1.145,0.562,0.547,0.557,0.547,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.025,0.118,0.414,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.044,0.414,0.414,0.187,0.187,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
