team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
LAK,2021,LAK,2021030181,LAK,EDM,AWAY,20220502,Team Level,other,0.1144,0.25,0.3333,214.0,2.19,0.07,0.078,0.493,0.071,0.868,1.42,0.07,0.07,0.07,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.019,0.0,0.0,0.089,0.089,0.089,4.572,0.542,0.385,0.827,0.161,2.775,1.31,0.473,0.542,0.473,4.0,2.0,3.0,9.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,4.0,6.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,2.0,1.0,0.13,0.211,0.2,0.0,0.0,0.0,9.0,6.0,6.0,0.0,0.095,0.2,0.2,0.436,0.436,0.371
LAK,2021,LAK,2021030181,LAK,EDM,AWAY,20220502,Team Level,all,0.3843,0.4818,0.5,3600.0,35.531,2.612,2.439,9.07,1.192,18.423,14.263,2.517,2.772,2.669,35.0,13.0,18.0,66.0,4.0,3.0,0.0,3.0,1.0,24.0,13.0,31.0,44.0,4.0,8.0,33.0,38.0,6.0,8.0,40.0,5.0,3.0,1.064,0.717,0.831,1.0,3.0,0.0,68.987,48.0,50.006,7.0,0.547,0.295,0.295,2.865,3.034,2.92,35.596,4.185,2.683,8.294,1.302,18.629,12.907,3.904,4.069,3.789,39.0,9.0,23.0,71.0,3.0,7.0,0.0,6.0,0.0,19.0,13.0,36.0,45.0,5.0,10.0,32.0,40.0,14.0,9.0,28.0,16.0,4.0,1.164,2.012,1.01,0.0,3.0,0.0,68.689,48.0,46.451,7.0,0.614,1.317,1.317,3.482,3.369,3.217
LAK,2021,LAK,2021030181,LAK,EDM,AWAY,20220502,Team Level,5on5,0.5599,0.5455,0.55,2491.0,23.936,2.36,1.447,5.936,0.804,12.354,10.1,2.274,2.519,2.426,23.0,10.0,15.0,48.0,4.0,1.0,0.0,2.0,0.0,18.0,8.0,19.0,29.0,4.0,8.0,19.0,34.0,6.0,7.0,25.0,5.0,3.0,0.811,0.717,0.831,1.0,3.0,0.0,50.987,33.0,35.006,6.0,0.302,0.233,0.233,2.429,2.598,2.505,19.492,1.855,1.288,5.26,0.647,10.289,7.662,1.82,1.738,1.705,20.0,7.0,13.0,40.0,1.0,3.0,0.0,3.0,0.0,11.0,9.0,19.0,26.0,4.0,8.0,20.0,36.0,11.0,9.0,21.0,5.0,1.0,0.873,0.649,0.333,0.0,1.0,0.0,37.689,27.0,25.451,7.0,0.267,0.464,0.464,1.658,1.545,1.528
LAK,2021,LAK,2021030181,LAK,EDM,AWAY,20220502,Team Level,4on5,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.294,1.599,0.892,1.918,0.438,4.906,2.246,1.422,1.599,1.422,12.0,0.0,7.0,19.0,2.0,3.0,0.0,1.0,0.0,6.0,0.0,10.0,10.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,8.0,2.0,0.089,1.034,0.476,0.0,2.0,0.0,19.0,12.0,12.0,0.0,0.223,0.653,0.653,1.17,1.17,1.1
LAK,2021,LAK,2021030181,LAK,EDM,AWAY,20220502,Team Level,5on4,0.4906,0.8333,0.8,480.0,9.405,0.183,0.913,2.641,0.317,5.202,2.744,0.173,0.183,0.173,10.0,2.0,3.0,15.0,0.0,2.0,0.0,1.0,1.0,5.0,3.0,10.0,12.0,0.0,0.0,6.0,1.0,0.0,0.0,12.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,15.0,12.0,12.0,0.0,0.225,0.062,0.062,0.347,0.347,0.326,2.238,0.19,0.118,0.288,0.056,0.659,1.689,0.19,0.19,0.19,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,0.0,0.072,0.117,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.029,0.0,0.0,0.218,0.218,0.218
LAK,2021,LAK,2021030182,LAK,EDM,AWAY,20220504,Team Level,other,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAK,2021,LAK,2021030182,LAK,EDM,AWAY,20220504,Team Level,all,0.4066,0.4065,0.4167,3600.0,28.679,2.333,1.949,6.787,0.935,16.65,11.344,2.326,2.316,2.308,30.0,10.0,10.0,50.0,0.0,1.0,0.0,4.0,1.0,18.0,16.0,30.0,40.0,5.0,10.0,28.0,46.0,8.0,8.0,33.0,4.0,3.0,0.751,0.538,1.045,0.0,0.0,0.0,48.341,40.0,39.411,4.0,0.457,0.029,0.029,2.761,2.742,2.732,39.42,3.405,2.878,8.855,1.403,23.479,15.979,3.205,3.401,3.2,37.0,19.0,17.0,73.0,6.0,3.0,0.0,11.0,2.0,16.0,18.0,31.0,50.0,5.0,10.0,35.0,48.0,12.0,8.0,44.0,9.0,3.0,1.476,1.197,0.733,4.0,2.0,0.0,75.838,56.0,56.936,6.0,0.631,0.726,0.726,3.31,3.31,3.154
LAK,2021,LAK,2021030182,LAK,EDM,AWAY,20220504,Team Level,5on5,0.3482,0.3895,0.4054,2769.0,21.138,1.222,1.378,5.279,0.699,12.488,8.934,1.214,1.204,1.197,22.0,8.0,7.0,37.0,0.0,1.0,0.0,4.0,1.0,12.0,12.0,22.0,30.0,5.0,10.0,20.0,41.0,6.0,7.0,26.0,4.0,0.0,0.685,0.538,0.0,0.0,0.0,0.0,35.341,30.0,29.411,4.0,0.28,0.029,0.029,1.474,1.454,1.445,30.866,2.287,2.16,7.305,1.042,18.533,12.674,2.179,2.283,2.173,29.0,15.0,14.0,58.0,3.0,2.0,0.0,8.0,2.0,13.0,16.0,26.0,41.0,5.0,10.0,28.0,47.0,12.0,4.0,37.0,6.0,1.0,1.142,0.863,0.282,2.0,1.0,0.0,60.838,44.0,44.936,3.0,0.448,0.476,0.476,2.26,2.26,2.188
LAK,2021,LAK,2021030182,LAK,EDM,AWAY,20220504,Team Level,4on5,0.0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.988,1.087,0.683,1.422,0.319,4.469,2.02,0.996,1.087,0.996,6.0,4.0,1.0,11.0,2.0,1.0,0.0,3.0,0.0,3.0,1.0,4.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,3.0,2.0,0.303,0.334,0.451,1.0,1.0,0.0,11.0,10.0,10.0,0.0,0.174,0.25,0.25,1.011,1.011,0.927
LAK,2021,LAK,2021030182,LAK,EDM,AWAY,20220504,Team Level,5on4,0.9729,0.7647,0.8333,480.0,7.54,1.111,0.571,1.509,0.236,4.163,2.409,1.111,1.111,1.111,8.0,2.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,8.0,10.0,0.0,0.0,5.0,4.0,2.0,1.0,7.0,0.0,3.0,0.066,0.0,1.045,0.0,0.0,0.0,13.0,10.0,10.0,0.0,0.177,0.0,0.0,1.288,1.288,1.287,1.566,0.031,0.035,0.128,0.042,0.478,1.286,0.031,0.031,0.031,2.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,0.031,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,3.0,0.009,0.0,0.0,0.04,0.04,0.04
