team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TBL,2021,TBL,2021030121,TBL,TOR,AWAY,20220502,Team Level,other,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.958,0.298,0.167,0.605,0.098,1.641,1.191,0.247,0.298,0.247,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.008,0.289,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0.0,0.044,0.0,0.0,0.341,0.341,0.284
TBL,2021,TBL,2021030121,TBL,TOR,AWAY,20220502,Team Level,all,0.2285,0.5254,0.439,3600.0,25.623,1.393,1.981,6.081,0.977,15.295,10.273,1.385,1.368,1.361,24.0,12.0,26.0,62.0,0.0,2.0,0.0,6.0,1.0,19.0,8.0,24.0,36.0,9.0,21.0,23.0,56.0,3.0,10.0,31.0,4.0,1.0,0.735,0.399,0.258,0.0,0.0,0.0,58.728,36.0,35.101,2.0,0.457,0.095,0.095,1.755,1.729,1.721,35.262,4.703,2.89,6.96,1.139,17.241,13.067,4.549,4.738,4.583,32.0,14.0,10.0,56.0,5.0,2.0,0.0,4.0,1.0,15.0,19.0,27.0,41.0,8.0,22.0,29.0,36.0,14.0,14.0,23.0,17.0,6.0,1.047,2.109,1.547,2.0,2.0,1.0,58.742,46.0,46.91,10.0,0.679,0.473,0.473,4.909,4.944,4.829
TBL,2021,TBL,2021030121,TBL,TOR,AWAY,20220502,Team Level,5on5,0.3477,0.5714,0.44,2148.0,15.557,1.158,1.024,3.725,0.638,8.953,6.501,1.151,1.134,1.127,15.0,7.0,22.0,44.0,0.0,1.0,0.0,5.0,1.0,10.0,5.0,15.0,22.0,6.0,15.0,16.0,44.0,2.0,5.0,17.0,4.0,1.0,0.501,0.399,0.258,0.0,0.0,0.0,40.728,22.0,21.101,2.0,0.213,0.075,0.075,1.296,1.269,1.265,21.176,2.172,1.709,4.554,0.716,10.961,7.887,2.121,2.207,2.154,20.0,8.0,5.0,33.0,3.0,1.0,0.0,3.0,0.0,9.0,12.0,17.0,25.0,8.0,22.0,16.0,26.0,11.0,10.0,18.0,9.0,1.0,0.805,1.158,0.209,2.0,1.0,0.0,35.742,28.0,28.91,8.0,0.361,0.15,0.15,2.384,2.419,2.367
TBL,2021,TBL,2021030121,TBL,TOR,AWAY,20220502,Team Level,4on5,0.0105,0.1176,0.0909,510.0,0.689,0.019,0.021,0.11,0.022,0.206,0.622,0.019,0.019,0.019,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.005,0.0,0.0,0.024,0.024,0.024,7.991,1.792,0.784,1.478,0.238,3.775,1.934,1.74,1.792,1.74,6.0,4.0,5.0,15.0,0.0,1.0,0.0,1.0,0.0,5.0,3.0,6.0,10.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,4.0,4.0,0.106,0.564,1.121,0.0,0.0,0.0,15.0,10.0,10.0,1.0,0.22,0.323,0.323,1.689,1.689,1.683
TBL,2021,TBL,2021030121,TBL,TOR,AWAY,20220502,Team Level,5on4,0.3277,0.8,0.7647,771.0,9.377,0.215,0.936,2.246,0.318,6.136,3.149,0.214,0.215,0.214,8.0,5.0,3.0,16.0,0.0,1.0,0.0,1.0,0.0,8.0,3.0,8.0,13.0,2.0,4.0,3.0,4.0,1.0,4.0,13.0,0.0,0.0,0.215,0.0,0.0,0.0,0.0,0.0,16.0,13.0,13.0,0.0,0.239,0.019,0.019,0.435,0.435,0.432,3.136,0.441,0.23,0.322,0.086,0.865,2.055,0.441,0.441,0.441,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,6.0,7.0,2.0,2.0,2.0,1.0,1.0,0.127,0.098,0.217,0.0,0.0,1.0,4.0,4.0,4.0,1.0,0.054,0.0,0.0,0.495,0.495,0.495
TBL,2021,TBL,2021030122,TBL,TOR,AWAY,20220504,Team Level,other,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.687,0.463,0.411,0.502,0.145,2.717,0.761,0.44,0.463,0.44,2.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.027,0.436,0.0,0.0,0.0,0.0,6.0,5.0,5.0,0.0,0.103,0.0,0.0,0.566,0.566,0.537
TBL,2021,TBL,2021030122,TBL,TOR,AWAY,20220504,Team Level,all,0.5874,0.4492,0.4839,3600.0,34.07,4.37,2.261,7.189,1.214,16.775,13.191,4.135,4.612,4.362,34.0,11.0,8.0,53.0,5.0,2.0,1.0,7.0,0.0,17.0,14.0,29.0,40.0,3.0,6.0,26.0,39.0,4.0,6.0,33.0,6.0,6.0,0.91,0.714,2.745,0.0,1.0,4.0,57.398,45.0,48.383,5.0,0.536,0.406,0.406,4.5,4.717,4.555,34.994,3.07,2.43,7.416,1.279,19.694,14.111,2.911,2.934,2.78,34.0,14.0,17.0,65.0,3.0,2.0,0.0,6.0,1.0,15.0,21.0,31.0,45.0,7.0,14.0,32.0,36.0,8.0,8.0,34.0,11.0,3.0,1.042,1.145,0.882,1.0,2.0,0.0,61.541,48.0,45.594,3.0,0.543,0.555,0.555,3.057,2.937,2.829
TBL,2021,TBL,2021030122,TBL,TOR,AWAY,20220504,Team Level,5on5,0.5301,0.4737,0.5,2493.0,22.806,2.102,1.44,5.602,0.918,11.129,8.808,1.997,2.345,2.224,21.0,9.0,6.0,36.0,2.0,2.0,1.0,5.0,0.0,13.0,8.0,19.0,28.0,3.0,6.0,20.0,37.0,2.0,6.0,22.0,5.0,3.0,0.654,0.589,0.859,0.0,1.0,1.0,40.398,30.0,33.383,5.0,0.306,0.406,0.406,2.002,2.219,2.194,21.862,1.863,1.353,5.146,0.853,11.729,9.055,1.76,1.728,1.629,22.0,8.0,10.0,40.0,2.0,2.0,0.0,5.0,0.0,8.0,13.0,20.0,28.0,7.0,14.0,19.0,31.0,5.0,5.0,25.0,2.0,3.0,0.799,0.182,0.882,1.0,1.0,0.0,36.541,30.0,27.594,2.0,0.28,0.555,0.555,1.588,1.468,1.429
TBL,2021,TBL,2021030122,TBL,TOR,AWAY,20220504,Team Level,4on5,0.3389,0.2353,0.3077,360.0,2.848,0.305,0.166,0.334,0.083,0.96,2.152,0.301,0.305,0.301,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.18,0.125,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.037,0.0,0.0,0.343,0.343,0.338,6.362,0.595,0.58,1.413,0.195,4.321,1.895,0.564,0.595,0.564,6.0,3.0,4.0,13.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,6.0,9.0,0.0,0.0,5.0,1.0,0.0,2.0,5.0,4.0,0.0,0.155,0.44,0.0,0.0,0.0,0.0,13.0,9.0,9.0,0.0,0.14,0.0,0.0,0.736,0.736,0.696
TBL,2021,TBL,2021030122,TBL,TOR,AWAY,20220504,Team Level,5on4,0.9299,0.6842,0.7333,588.0,8.415,1.962,0.654,1.253,0.213,4.686,2.231,1.837,1.962,1.837,9.0,2.0,2.0,13.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,8.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,0.0,3.0,0.076,0.0,1.886,0.0,0.0,3.0,13.0,11.0,11.0,0.0,0.193,0.0,0.0,2.155,2.155,2.023,3.083,0.148,0.086,0.355,0.085,0.927,2.399,0.148,0.148,0.148,4.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,7.0,4.0,3.0,1.0,3.0,1.0,0.0,0.06,0.088,0.0,0.0,1.0,0.0,6.0,4.0,4.0,1.0,0.02,0.0,0.0,0.167,0.167,0.167
