team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2017,VGK,2017030171,VGK,L.A,HOME,20180411,Team Level,other,0.1728,0.6,0.3333,83.0,0.625,0.028,0.063,0.103,0.017,0.639,0.15,0.028,0.028,0.028,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.015,0.0,0.0,0.043,0.043,0.043,1.442,0.134,0.076,0.276,0.052,0.834,0.627,0.134,0.134,0.134,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.03,0.104,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.026,0.0,0.0,0.16,0.16,0.16
VGK,2017,VGK,2017030171,VGK,L.A,HOME,20180411,Team Level,all,0.6412,0.5794,0.5604,3600.0,35.664,2.279,2.376,8.205,1.163,21.922,15.055,2.237,2.275,2.234,28.0,23.0,22.0,73.0,1.0,0.0,0.0,10.0,0.0,19.0,21.0,27.0,50.0,3.0,6.0,35.0,59.0,9.0,7.0,42.0,9.0,0.0,1.268,1.011,0.0,1.0,0.0,0.0,74.18,51.0,52.184,4.0,0.509,0.0,0.0,2.788,2.783,2.733,27.407,1.275,1.812,7.11,1.008,15.842,12.953,1.263,1.276,1.265,30.0,10.0,13.0,53.0,0.0,3.0,0.0,10.0,1.0,15.0,11.0,30.0,40.0,3.0,6.0,27.0,68.0,3.0,5.0,36.0,3.0,1.0,0.651,0.358,0.265,0.0,0.0,0.0,52.0,40.0,38.965,3.0,0.403,0.238,0.238,1.44,1.442,1.434
VGK,2017,VGK,2017030171,VGK,L.A,HOME,20180411,Team Level,5on5,0.5889,0.5745,0.5538,2797.0,25.456,1.461,1.547,6.335,0.837,14.843,10.976,1.443,1.458,1.439,20.0,16.0,18.0,54.0,1.0,0.0,0.0,8.0,0.0,10.0,17.0,19.0,35.0,3.0,6.0,26.0,57.0,8.0,6.0,30.0,6.0,0.0,0.788,0.673,0.0,1.0,0.0,0.0,55.18,36.0,37.184,4.0,0.312,0.0,0.0,1.774,1.769,1.748,19.903,1.02,1.215,5.317,0.741,10.683,10.024,1.009,1.022,1.01,22.0,7.0,11.0,40.0,0.0,2.0,0.0,8.0,1.0,11.0,7.0,22.0,29.0,3.0,6.0,24.0,66.0,2.0,4.0,26.0,2.0,1.0,0.5,0.254,0.265,0.0,0.0,0.0,39.0,29.0,27.965,3.0,0.248,0.181,0.181,1.087,1.089,1.081
VGK,2017,VGK,2017030171,VGK,L.A,HOME,20180411,Team Level,4on5,0.2143,0.1538,0.1818,360.0,1.431,0.033,0.039,0.252,0.052,0.469,1.155,0.033,0.033,0.033,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.011,0.0,0.0,0.044,0.044,0.044,6.062,0.121,0.522,1.516,0.215,4.325,2.302,0.12,0.121,0.12,6.0,3.0,2.0,11.0,0.0,1.0,0.0,2.0,0.0,4.0,2.0,6.0,9.0,0.0,0.0,3.0,2.0,0.0,1.0,9.0,0.0,0.0,0.121,0.0,0.0,0.0,0.0,0.0,11.0,9.0,9.0,0.0,0.129,0.057,0.057,0.193,0.193,0.193
VGK,2017,VGK,2017030171,VGK,L.A,HOME,20180411,Team Level,5on4,1.0,1.0,1.0,360.0,8.152,0.757,0.727,1.516,0.257,5.97,2.774,0.733,0.757,0.733,5.0,7.0,2.0,14.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,5.0,12.0,0.0,0.0,5.0,1.0,0.0,1.0,9.0,3.0,0.0,0.418,0.338,0.0,0.0,0.0,0.0,14.0,12.0,12.0,0.0,0.171,0.0,0.0,0.927,0.927,0.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VGK,2017,VGK,2017030172,VGK,L.A,HOME,20180413,Team Level,other,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VGK,2017,VGK,2017030172,VGK,L.A,HOME,20180413,Team Level,all,0.7088,0.6201,0.6333,5723.0,53.155,4.642,3.705,12.245,2.109,31.292,22.007,4.384,4.528,4.273,56.0,20.0,35.0,111.0,2.0,5.0,1.0,21.0,0.0,28.0,20.0,54.0,74.0,3.0,6.0,42.0,56.0,21.0,8.0,59.0,16.0,1.0,2.208,1.892,0.541,1.0,0.0,1.0,109.11,76.0,75.118,3.0,0.788,0.962,0.962,4.469,4.347,4.234,31.205,1.907,1.947,7.313,0.997,17.847,13.989,1.878,1.965,1.935,30.0,14.0,24.0,68.0,1.0,1.0,0.0,4.0,4.0,15.0,19.0,29.0,43.0,4.0,8.0,51.0,80.0,14.0,13.0,38.0,5.0,1.0,0.924,0.543,0.44,0.0,0.0,1.0,69.521,44.0,44.726,9.0,0.419,0.139,0.139,2.187,2.258,2.233
VGK,2017,VGK,2017030172,VGK,L.A,HOME,20180413,Team Level,5on5,0.6898,0.6026,0.61,4906.0,42.828,3.216,2.852,9.854,1.408,25.14,18.53,3.129,3.102,3.017,46.0,15.0,30.0,91.0,1.0,3.0,0.0,18.0,0.0,22.0,17.0,45.0,60.0,3.0,6.0,36.0,54.0,19.0,7.0,49.0,12.0,0.0,1.761,1.455,0.0,1.0,0.0,0.0,89.11,61.0,60.118,3.0,0.585,0.359,0.359,3.442,3.32,3.252,27.52,1.446,1.654,6.534,0.897,15.683,12.785,1.417,1.504,1.474,25.0,14.0,21.0,60.0,0.0,1.0,0.0,3.0,3.0,15.0,17.0,25.0,39.0,4.0,8.0,44.0,78.0,12.0,13.0,34.0,5.0,0.0,0.903,0.543,0.0,0.0,0.0,0.0,61.521,39.0,39.726,9.0,0.337,0.139,0.139,1.644,1.715,1.69
VGK,2017,VGK,2017030172,VGK,L.A,HOME,20180413,Team Level,4on5,0.078,0.1111,0.1667,336.0,0.748,0.039,0.026,0.107,0.021,0.247,0.559,0.039,0.039,0.039,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.045,0.045,0.045,3.685,0.461,0.293,0.779,0.1,2.164,1.204,0.461,0.461,0.461,5.0,0.0,3.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,1.0,0.021,0.0,0.44,0.0,0.0,1.0,8.0,5.0,5.0,0.0,0.082,0.0,0.0,0.543,0.543,0.543
VGK,2017,VGK,2017030172,VGK,L.A,HOME,20180413,Team Level,5on4,1.0,1.0,1.0,476.0,9.58,1.386,0.827,2.284,0.68,5.905,2.918,1.216,1.386,1.216,9.0,5.0,5.0,19.0,1.0,2.0,1.0,2.0,0.0,6.0,3.0,8.0,13.0,0.0,0.0,3.0,0.0,1.0,1.0,9.0,4.0,1.0,0.408,0.437,0.541,0.0,0.0,1.0,19.0,14.0,14.0,0.0,0.198,0.603,0.603,0.981,0.981,0.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
