team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
ATL,2008,ATL,2008020013,ATL,WSH,HOME,20081010,Team Level,other,0.0,0.3333,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.562,0.094,0.066,0.564,0.053,0.607,0.616,0.094,0.094,0.094,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.017,0.0,0.0,0.111,0.111,0.111
ATL,2008,ATL,2008020013,ATL,WSH,HOME,20081010,Team Level,all,0.4012,0.41,0.3951,3600.0,23.219,2.484,1.59,4.831,0.902,12.966,9.227,2.4,2.478,2.394,31.0,1.0,9.0,41.0,7.0,2.0,2.0,3.0,2.0,8.0,10.0,24.0,25.0,9.0,29.0,44.0,16.0,7.0,4.0,21.0,9.0,2.0,0.801,1.078,0.605,2.0,3.0,2.0,41.806,32.0,32.338,2.0,0.359,0.605,0.605,2.238,2.227,2.21,35.379,3.707,1.976,8.277,1.28,18.156,15.604,3.409,3.717,3.42,43.0,6.0,10.0,59.0,4.0,2.0,0.0,10.0,1.0,13.0,19.0,39.0,45.0,12.0,33.0,29.0,20.0,6.0,4.0,38.0,5.0,6.0,0.996,0.66,2.05,1.0,0.0,3.0,58.459,49.0,48.721,3.0,0.474,0.322,0.322,3.858,3.876,3.613
ATL,2008,ATL,2008020013,ATL,WSH,HOME,20081010,Team Level,5on5,0.4837,0.4262,0.4167,2361.0,14.367,1.483,0.868,3.084,0.48,7.887,6.199,1.443,1.477,1.437,20.0,0.0,6.0,26.0,4.0,1.0,1.0,2.0,0.0,5.0,8.0,16.0,16.0,7.0,22.0,25.0,10.0,6.0,3.0,14.0,5.0,1.0,0.576,0.654,0.254,2.0,1.0,1.0,26.806,20.0,20.338,2.0,0.18,0.254,0.254,1.409,1.398,1.395,19.736,1.583,1.115,4.993,0.828,10.317,9.163,1.529,1.594,1.54,25.0,3.0,7.0,35.0,1.0,2.0,0.0,7.0,1.0,4.0,13.0,24.0,27.0,10.0,26.0,13.0,17.0,2.0,3.0,22.0,5.0,1.0,0.697,0.66,0.227,1.0,0.0,0.0,34.459,28.0,27.721,2.0,0.231,0.322,0.322,1.492,1.51,1.5
ATL,2008,ATL,2008020013,ATL,WSH,HOME,20081010,Team Level,4on5,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.191,1.341,0.598,1.839,0.27,5.974,2.979,1.169,1.341,1.169,11.0,2.0,2.0,15.0,2.0,0.0,0.0,2.0,0.0,6.0,3.0,9.0,11.0,1.0,2.0,6.0,2.0,0.0,1.0,10.0,0.0,3.0,0.067,0.0,1.274,0.0,0.0,2.0,15.0,13.0,13.0,1.0,0.178,0.0,0.0,1.518,1.518,1.34
ATL,2008,ATL,2008020013,ATL,WSH,HOME,20081010,Team Level,5on4,0.5923,0.6667,0.6667,584.0,8.853,1.001,0.722,1.747,0.423,5.079,3.029,0.957,1.001,0.957,11.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,8.0,9.0,2.0,7.0,12.0,2.0,0.0,1.0,7.0,4.0,1.0,0.225,0.424,0.351,0.0,2.0,1.0,14.0,12.0,12.0,0.0,0.179,0.351,0.351,0.829,0.829,0.814,4.89,0.689,0.197,0.881,0.129,1.258,2.846,0.617,0.689,0.617,5.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,1.0,5.0,8.0,1.0,2.0,0.0,4.0,0.0,2.0,0.139,0.0,0.55,0.0,0.0,1.0,7.0,6.0,6.0,0.0,0.048,0.0,0.0,0.736,0.736,0.661
ATL,2008,ATL,2008020021,ATL,FLA,AWAY,20081011,Team Level,other,0.6737,0.5333,0.5,450.0,4.779,0.801,0.482,0.844,0.171,3.529,1.172,0.801,0.801,0.801,5.0,2.0,1.0,8.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0,6.0,0.0,0.0,8.0,2.0,0.0,0.0,4.0,1.0,2.0,0.033,0.125,0.643,0.0,1.0,0.0,8.0,7.0,7.0,0.0,0.187,0.0,0.0,0.988,0.988,0.987,4.319,0.388,0.281,0.867,0.129,2.06,2.341,0.38,0.388,0.38,6.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,6.0,1.0,2.0,3.0,2.0,0.0,0.0,5.0,2.0,0.0,0.223,0.165,0.0,1.0,0.0,0.0,7.0,7.0,7.0,0.0,0.067,0.0,0.0,0.39,0.39,0.387
ATL,2008,ATL,2008020021,ATL,FLA,AWAY,20081011,Team Level,all,0.5226,0.4352,0.4396,3834.0,28.872,2.994,2.102,5.595,0.873,16.355,12.081,2.948,3.027,2.979,33.0,7.0,7.0,47.0,2.0,1.0,0.0,10.0,0.0,9.0,18.0,31.0,38.0,7.0,17.0,32.0,16.0,4.0,3.0,30.0,6.0,4.0,0.683,0.752,1.558,0.0,2.0,0.0,47.212,40.0,40.034,1.0,0.556,0.171,0.171,3.378,3.409,3.345,34.527,2.735,2.416,7.19,1.125,20.753,15.847,2.684,2.685,2.636,39.0,12.0,10.0,61.0,3.0,0.0,0.0,10.0,2.0,14.0,22.0,36.0,48.0,7.0,17.0,34.0,24.0,3.0,2.0,35.0,16.0,0.0,1.047,1.687,0.0,1.0,2.0,0.0,60.373,51.0,50.485,1.0,0.538,0.0,0.0,3.208,3.149,3.095
ATL,2008,ATL,2008020021,ATL,FLA,AWAY,20081011,Team Level,5on5,0.4852,0.4516,0.4545,2470.0,18.18,1.209,1.167,3.862,0.544,9.763,8.455,1.175,1.242,1.206,22.0,3.0,3.0,28.0,1.0,1.0,0.0,5.0,0.0,6.0,12.0,21.0,24.0,7.0,17.0,19.0,12.0,2.0,2.0,20.0,5.0,0.0,0.582,0.627,0.0,0.0,1.0,0.0,28.212,25.0,25.034,1.0,0.241,0.171,0.171,1.278,1.309,1.279,20.447,1.283,1.232,4.663,0.685,12.789,9.347,1.259,1.234,1.211,25.0,5.0,4.0,34.0,2.0,0.0,0.0,8.0,0.0,5.0,15.0,23.0,28.0,5.0,13.0,21.0,18.0,3.0,2.0,22.0,8.0,0.0,0.529,0.754,0.0,0.0,2.0,0.0,33.373,30.0,29.485,1.0,0.247,0.0,0.0,1.53,1.472,1.445
ATL,2008,ATL,2008020021,ATL,FLA,AWAY,20081011,Team Level,4on5,0.0096,0.0526,0.0769,600.0,0.746,0.01,0.02,0.111,0.017,0.244,0.598,0.01,0.01,0.01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.015,0.015,0.015,8.397,1.032,0.86,1.526,0.282,5.416,2.884,1.014,1.032,1.014,7.0,5.0,6.0,18.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,7.0,12.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0,6.0,0.0,0.264,0.769,0.0,0.0,0.0,0.0,18.0,12.0,12.0,0.0,0.215,0.0,0.0,1.248,1.248,1.223
ATL,2008,ATL,2008020021,ATL,FLA,AWAY,20081011,Team Level,5on4,0.9692,0.8333,0.7778,314.0,5.166,0.974,0.433,0.778,0.141,2.819,1.855,0.962,0.974,0.962,6.0,1.0,3.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,6.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,2.0,0.059,0.0,0.915,0.0,0.0,0.0,10.0,7.0,7.0,0.0,0.123,0.0,0.0,1.097,1.097,1.064,1.364,0.031,0.044,0.134,0.029,0.487,1.275,0.031,0.031,0.031,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.009,0.0,0.0,0.04,0.04,0.04
