team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
LAK,2021,LAK,2021020016,LAK,VGK,HOME,20211014,Team Level,other,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAK,2021,LAK,2021020016,LAK,VGK,HOME,20211014,Team Level,all,0.6007,0.6563,0.6596,3600.0,44.648,4.044,3.066,10.452,1.528,24.786,18.124,3.687,3.957,3.626,47.0,15.0,22.0,84.0,6.0,6.0,1.0,11.0,2.0,15.0,22.0,41.0,56.0,2.0,7.0,32.0,22.0,3.0,4.0,43.0,15.0,4.0,1.037,1.928,1.079,2.0,4.0,0.0,87.487,62.0,62.697,4.0,0.645,1.231,1.231,3.458,3.437,3.383,24.36,2.688,1.576,6.445,0.794,11.851,8.645,2.543,2.724,2.581,25.0,7.0,12.0,44.0,2.0,2.0,0.0,3.0,3.0,11.0,11.0,23.0,30.0,3.0,9.0,33.0,41.0,2.0,4.0,20.0,9.0,3.0,0.716,0.917,1.055,1.0,1.0,0.0,42.949,32.0,31.979,3.0,0.352,0.446,0.446,2.594,2.635,2.569
LAK,2021,LAK,2021020016,LAK,VGK,HOME,20211014,Team Level,5on5,0.6343,0.6525,0.6591,3387.0,41.754,3.8,2.851,10.014,1.455,23.23,16.651,3.443,3.713,3.382,43.0,15.0,19.0,77.0,4.0,6.0,1.0,11.0,2.0,15.0,20.0,39.0,54.0,2.0,7.0,29.0,22.0,3.0,4.0,40.0,14.0,4.0,0.935,1.786,1.079,0.0,4.0,0.0,80.487,58.0,58.697,4.0,0.594,1.231,1.231,3.163,3.142,3.089,23.043,2.191,1.472,6.185,0.733,11.113,8.307,2.056,2.227,2.093,24.0,6.0,11.0,41.0,2.0,2.0,0.0,3.0,3.0,10.0,10.0,22.0,28.0,3.0,9.0,31.0,41.0,2.0,4.0,19.0,9.0,2.0,0.704,0.917,0.57,1.0,1.0,0.0,39.949,30.0,29.979,3.0,0.313,0.446,0.446,2.058,2.099,2.051
LAK,2021,LAK,2021020016,LAK,VGK,HOME,20211014,Team Level,4on5,0.2366,0.4,0.5,120.0,1.618,0.154,0.091,0.151,0.033,0.535,1.036,0.154,0.154,0.154,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.012,0.143,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.02,0.0,0.0,0.175,0.175,0.175,1.317,0.497,0.105,0.26,0.061,0.738,0.338,0.487,0.497,0.487,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.012,0.0,0.485,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.039,0.0,0.0,0.536,0.536,0.519
LAK,2021,LAK,2021020016,LAK,VGK,HOME,20211014,Team Level,5on4,1.0,1.0,1.0,76.0,1.276,0.09,0.125,0.287,0.041,1.021,0.437,0.089,0.09,0.089,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,0.031,0.0,0.0,0.12,0.12,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAK,2021,LAK,2021020032,LAK,MIN,HOME,20211016,Team Level,other,1.0,1.0,1.0,111.0,0.749,0.055,0.044,0.143,0.022,0.567,0.169,0.055,0.055,0.055,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.012,0.0,0.0,0.067,0.067,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LAK,2021,LAK,2021020032,LAK,MIN,HOME,20211016,Team Level,all,0.5867,0.5755,0.5412,3600.0,33.346,3.431,2.412,7.827,1.097,18.936,12.296,3.161,3.318,3.054,31.0,15.0,15.0,61.0,2.0,5.0,1.0,7.0,1.0,18.0,13.0,29.0,44.0,2.0,4.0,25.0,24.0,4.0,5.0,32.0,10.0,4.0,0.851,1.176,1.404,1.0,0.0,1.0,58.404,46.0,43.939,5.0,0.544,1.436,1.436,2.54,2.444,2.311,28.647,2.417,2.066,6.455,0.865,15.682,11.515,2.373,2.57,2.524,30.0,9.0,6.0,45.0,3.0,2.0,0.0,6.0,1.0,13.0,14.0,27.0,36.0,5.0,10.0,24.0,25.0,4.0,3.0,30.0,6.0,3.0,0.89,0.736,0.791,1.0,2.0,0.0,47.352,39.0,41.02,3.0,0.438,0.574,0.574,2.281,2.422,2.392
LAK,2021,LAK,2021020032,LAK,MIN,HOME,20211016,Team Level,5on5,0.4432,0.5301,0.5072,2955.0,25.269,1.884,1.739,6.217,0.84,14.305,10.015,1.772,1.771,1.665,25.0,10.0,9.0,44.0,1.0,3.0,0.0,6.0,1.0,14.0,10.0,24.0,34.0,2.0,4.0,19.0,22.0,4.0,4.0,27.0,6.0,2.0,0.618,0.664,0.602,1.0,0.0,0.0,41.404,35.0,32.939,4.0,0.362,0.634,0.634,1.613,1.517,1.429,25.066,2.367,1.781,5.511,0.752,13.174,10.416,2.324,2.521,2.476,27.0,7.0,5.0,39.0,3.0,2.0,0.0,4.0,1.0,10.0,14.0,24.0,31.0,5.0,10.0,17.0,25.0,3.0,2.0,25.0,6.0,3.0,0.841,0.736,0.791,1.0,2.0,0.0,41.352,34.0,36.02,2.0,0.371,0.574,0.574,2.164,2.306,2.277
LAK,2021,LAK,2021020032,LAK,MIN,HOME,20211016,Team Level,4on5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.581,0.049,0.286,0.944,0.113,2.508,1.099,0.049,0.049,0.049,3.0,2.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,0.0,0.067,0.0,0.0,0.117,0.117,0.114
LAK,2021,LAK,2021020032,LAK,MIN,HOME,20211016,Team Level,5on4,1.0,1.0,1.0,414.0,7.327,1.492,0.629,1.467,0.235,4.064,2.112,1.335,1.492,1.335,5.0,5.0,2.0,12.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,4.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,2.0,0.178,0.512,0.802,0.0,0.0,1.0,12.0,10.0,10.0,0.0,0.17,0.802,0.802,0.86,0.86,0.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
