team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SJS,2021,SJS,2021020033,SJS,WPG,HOME,20211016,Team Level,other,0.0574,0.5,0.4,160.0,1.409,0.044,0.069,0.366,0.039,0.812,0.671,0.044,0.044,0.044,1.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.015,0.0,0.0,0.059,0.059,0.059,2.456,0.723,0.192,0.459,0.094,1.028,0.503,0.672,0.723,0.672,3.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.723,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.062,0.0,0.0,0.785,0.785,0.729
SJS,2021,SJS,2021020033,SJS,WPG,HOME,20211016,Team Level,all,0.6457,0.5405,0.6053,3600.0,33.558,3.804,2.525,7.74,1.143,17.78,13.008,3.539,3.744,3.479,31.0,15.0,14.0,60.0,4.0,4.0,2.0,5.0,0.0,12.0,21.0,27.0,42.0,4.0,11.0,30.0,33.0,7.0,7.0,31.0,10.0,5.0,1.0,1.272,1.532,2.0,0.0,2.0,58.74,46.0,45.165,5.0,0.572,1.316,1.316,3.06,2.985,2.898,22.339,2.087,1.413,5.067,0.76,10.944,9.729,2.028,2.149,2.09,23.0,7.0,21.0,51.0,3.0,1.0,1.0,9.0,0.0,8.0,9.0,20.0,27.0,7.0,17.0,21.0,26.0,9.0,7.0,21.0,5.0,4.0,0.535,0.607,0.945,0.0,2.0,1.0,52.331,30.0,30.716,2.0,0.325,0.222,0.222,2.19,2.263,2.205
SJS,2021,SJS,2021020033,SJS,WPG,HOME,20211016,Team Level,5on5,0.6228,0.4865,0.5625,2667.0,19.578,1.851,1.528,4.87,0.662,10.461,7.629,1.73,1.791,1.669,18.0,9.0,9.0,36.0,1.0,2.0,1.0,4.0,0.0,7.0,13.0,17.0,26.0,4.0,11.0,20.0,31.0,5.0,7.0,18.0,7.0,2.0,0.501,0.858,0.492,0.0,0.0,1.0,34.74,27.0,26.165,5.0,0.321,0.492,0.492,1.68,1.604,1.589,15.746,1.121,0.944,3.873,0.531,8.003,6.529,1.113,1.183,1.175,15.0,6.0,17.0,38.0,2.0,1.0,1.0,7.0,0.0,5.0,6.0,13.0,19.0,6.0,15.0,13.0,20.0,7.0,6.0,16.0,4.0,1.0,0.416,0.483,0.222,0.0,1.0,1.0,39.331,21.0,21.716,2.0,0.197,0.222,0.222,1.097,1.17,1.169
SJS,2021,SJS,2021020033,SJS,WPG,HOME,20211016,Team Level,4on5,0.8452,0.375,0.5,308.0,2.351,0.262,0.132,0.295,0.056,0.695,1.561,0.262,0.262,0.262,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.099,0.163,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.029,0.0,0.0,0.29,0.29,0.29,1.775,0.048,0.15,0.437,0.08,1.174,1.112,0.048,0.048,0.048,2.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.037,0.0,0.0,0.085,0.085,0.085
SJS,2021,SJS,2021020033,SJS,WPG,HOME,20211016,Team Level,5on4,0.8942,0.8421,0.8235,465.0,10.22,1.648,0.797,2.208,0.387,5.813,3.147,1.504,1.648,1.504,9.0,5.0,2.0,16.0,2.0,2.0,1.0,0.0,0.0,5.0,5.0,7.0,12.0,0.0,0.0,4.0,0.0,1.0,0.0,9.0,2.0,3.0,0.357,0.251,1.04,1.0,0.0,1.0,16.0,14.0,14.0,0.0,0.207,0.823,0.823,1.032,1.032,0.96,2.362,0.195,0.127,0.298,0.055,0.74,1.585,0.195,0.195,0.195,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,0.0,0.071,0.124,0.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.028,0.0,0.0,0.223,0.223,0.223
SJS,2021,SJS,2021020040,SJS,MTL,AWAY,20211019,Team Level,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJS,2021,SJS,2021020040,SJS,MTL,AWAY,20211019,Team Level,all,0.6738,0.4433,0.4776,3600.0,23.79,2.706,1.533,5.794,0.762,12.734,8.47,2.658,2.907,2.854,25.0,7.0,11.0,43.0,5.0,3.0,1.0,5.0,1.0,11.0,7.0,20.0,27.0,3.0,6.0,31.0,20.0,2.0,16.0,23.0,4.0,5.0,0.416,0.509,1.781,1.0,1.0,3.0,48.314,32.0,35.062,16.0,0.369,0.673,0.673,2.402,2.536,2.512,24.697,1.31,1.573,6.833,0.805,14.665,9.814,1.285,1.192,1.169,21.0,14.0,19.0,54.0,0.0,2.0,0.0,6.0,0.0,8.0,19.0,21.0,35.0,5.0,10.0,19.0,31.0,2.0,8.0,31.0,4.0,0.0,0.863,0.447,0.0,0.0,0.0,0.0,47.798,35.0,31.703,8.0,0.339,0.172,0.172,1.476,1.351,1.325
SJS,2021,SJS,2021020040,SJS,MTL,AWAY,20211019,Team Level,5on5,0.5974,0.411,0.4286,3006.0,15.446,1.521,0.924,3.817,0.49,8.13,6.118,1.483,1.722,1.678,16.0,5.0,9.0,30.0,3.0,2.0,1.0,4.0,0.0,7.0,5.0,13.0,18.0,3.0,6.0,22.0,20.0,1.0,14.0,15.0,4.0,2.0,0.348,0.509,0.664,1.0,1.0,1.0,35.314,21.0,24.062,14.0,0.194,0.664,0.664,1.051,1.185,1.171,19.597,1.025,1.221,5.368,0.634,12.005,7.746,1.009,0.907,0.893,16.0,12.0,15.0,43.0,0.0,2.0,0.0,3.0,0.0,8.0,15.0,16.0,28.0,5.0,10.0,16.0,30.0,1.0,8.0,24.0,4.0,0.0,0.578,0.447,0.0,0.0,0.0,0.0,36.798,28.0,24.703,8.0,0.246,0.172,0.172,1.099,0.973,0.959
SJS,2021,SJS,2021020040,SJS,MTL,AWAY,20211019,Team Level,4on5,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.262,0.323,1.361,0.149,2.429,1.476,0.262,0.262,0.262,4.0,2.0,4.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,0.0,0.086,0.0,0.0,0.348,0.348,0.348
SJS,2021,SJS,2021020040,SJS,MTL,AWAY,20211019,Team Level,5on4,0.981,0.9286,0.9167,352.0,8.344,1.185,0.61,1.977,0.272,4.605,2.351,1.175,1.185,1.175,9.0,2.0,2.0,13.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,7.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,3.0,0.069,0.0,1.117,0.0,0.0,2.0,13.0,11.0,11.0,0.0,0.175,0.009,0.009,1.351,1.351,1.34,0.74,0.023,0.029,0.103,0.022,0.231,0.592,0.014,0.023,0.014,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.006,0.0,0.0,0.029,0.029,0.018
