season,date,team1,team2,odds1,oddsX,odds2
2024-2025,20241004,BUF,NJD,2.95,3.90,2.00
2024-2025,20241005,NJD,BUF,2.05,3.90,2.80
2024-2025,20241008,SEA,STL,2.05,3.80,2.90
2024-2025,20241009,FLA,BOS,1.95,3.80,3.00
2024-2025,20241009,Unknown,CHI,1.85,3.95,3.25
2024-2025,20241010,MTL,TOR,3.45,4.00,1.77
2024-2025,20241010,PIT,NYR,2.88,3.85,2.05
2024-2025,20241010,EDM,WPG,1.85,3.95,3.25
2024-2025,20241010,VAN,CGY,1.77,4.00,3.45
2024-2025,20241010,VGK,COL,2.35,3.85,2.45
2024-2025,20241011,BOS,MTL,1.50,4.33,5.00
2024-2025,20241011,BUF,LAK,2.40,3.80,2.38
2024-2025,20241011,OTT,FLA,2.75,3.85,2.10
2024-2025,20241011,NJD,TOR,2.05,3.95,2.85
2024-2025,20241011,NYI,Unknown,2.10,3.80,2.80
2024-2025,20241011,DET,PIT,2.00,3.95,2.85
2024-2025,20241011,NSH,DAL,2.70,3.85,2.15
2024-2025,20241011,MIN,CBJ,1.53,4.33,4.50
2024-2025,20241011,SJS,STL,3.10,3.85,1.93
2024-2025,20241012,CAR,TBL,2.00,3.90,2.95
2024-2025,20241012,WPG,CHI,1.53,4.33,4.75
2024-2025,20241012,VAN,PHI,1.77,4.00,3.45
2024-2025,20241012,VGK,STL,1.73,4.00,3.65
2024-2025,20241012,BOS,LAK,1.95,3.85,3.00
2024-2025,20241013,BUF,FLA,2.40,3.75,2.38
2024-2025,20241013,TOR,PIT,1.80,4.00,3.40
2024-2025,20241013,MTL,OTT,2.95,3.90,2.00
2024-2025,20241013,DET,NSH,2.80,3.90,2.05
2024-2025,20241013,WSH,NJD,2.70,3.80,2.10
2024-2025,20241013,NYR,Unknown,1.75,4.00,3.60
2024-2025,20241013,DAL,NYI,1.90,3.90,3.20
2024-2025,20241013,MIN,SEA,2.10,3.80,2.80
2024-2025,20241013,COL,CBJ,1.44,4.75,5.25
2024-2025,20241013,CGY,PHI,2.15,3.80,2.65
2024-2025,20241013,EDM,CHI,1.42,4.75,5.50
2024-2025,20241013,SJS,ANA,2.70,3.85,2.10
2024-2025,20241014,WPG,MIN,1.95,3.85,3.00
2024-2025,20241014,DAL,SEA,1.85,3.90,3.25
2024-2025,20241014,EDM,CGY,1.55,4.50,4.33
2024-2025,20241014,VGK,ANA,1.50,4.50,4.75
2024-2025,20241014,BOS,FLA,2.15,3.75,2.65
2024-2025,20241014,OTT,LAK,2.38,3.80,2.40
2024-2025,20241014,NJD,Unknown,1.95,3.95,3.00
2024-2025,20241015,NYR,DET,1.60,4.33,4.20
2024-2025,20241015,MTL,PIT,2.80,3.85,2.05
2024-2025,20241015,COL,NYI,2.00,3.90,2.95
2024-2025,20241016,TBL,VAN,2.10,4.40,2.70
2024-2025,20241016,WSH,VGK,2.70,4.33,2.15
2024-2025,20241016,CAR,NJD,1.95,4.33,3.00
2024-2025,20241016,CBJ,FLA,3.00,4.40,2.00
2024-2025,20241016,STL,MIN,2.50,4.20,2.30
2024-2025,20241016,NSH,SEA,1.83,4.40,3.35
2024-2025,20241016,DAL,SJS,1.44,5.00,5.75
2024-2025,20241016,CGY,CHI,2.00,4.33,2.95
2024-2025,20241016,EDM,PHI,1.77,4.60,3.70
2024-2025,20241017,PIT,BUF,2.30,3.85,2.50
2024-2025,20241017,TOR,LAK,1.77,4.00,3.45
2024-2025,20241017,COL,BOS,2.10,3.95,2.70
2024-2025,20241017,ANA,Unknown,3.00,3.90,1.95
2024-2025,20241018,MTL,LAK,2.75,3.80,2.10
2024-2025,20241018,OTT,NJD,2.80,3.90,2.05
2024-2025,20241018,TBL,VGK,2.00,3.85,2.90
2024-2025,20241018,FLA,VAN,2.45,3.75,2.35
2024-2025,20241018,WSH,DAL,2.95,3.85,2.00
2024-2025,20241018,CBJ,BUF,2.85,3.85,2.05
2024-2025,20241018,DET,NYR,2.95,3.90,2.00
2024-2025,20241018,STL,NYI,2.85,3.80,2.05
2024-2025,20241018,NSH,EDM,2.55,3.90,2.20
2024-2025,20241018,CHI,SJS,1.83,3.95,3.35
2024-2025,20241018,SEA,PHI,2.10,3.85,2.70
2024-2025,20241019,PIT,CAR,3.10,3.95,1.93
2024-2025,20241019,WPG,SJS,1.40,4.75,6.00
2024-2025,20241019,COL,ANA,1.55,4.33,4.33
2024-2025,20241019,OTT,TBL,2.75,3.90,2.05
2024-2025,20241019,NSH,DET,1.80,4.00,3.40
2024-2025,20241019,DAL,EDM,2.50,3.80,2.30
2024-2025,20241020,FLA,VGK,2.25,3.75,2.60
2024-2025,20241020,TOR,NYR,2.15,3.85,2.65
2024-2025,20241020,NJD,WSH,1.80,4.00,3.40
2024-2025,20241020,NYI,MTL,1.62,4.20,4.00
2024-2025,20241020,PHI,VAN,2.90,3.85,2.00
2024-2025,20241020,CBJ,MIN,3.30,3.95,1.83
2024-2025,20241020,STL,CAR,3.10,3.90,1.93
2024-2025,20241020,CHI,BUF,2.90,3.85,2.00
2024-2025,20241020,Unknown,BOS,2.80,3.85,2.10
2024-2025,20241020,SEA,CGY,2.05,3.85,2.88
2024-2025,20241020,WPG,PIT,2.15,3.85,2.70
2024-2025,20241021,SJS,COL,4.75,4.50,1.50
2024-2025,20241021,ANA,LAK,3.30,3.95,1.83
2024-2025,20241022,TOR,TBL,2.05,3.90,2.75
2024-2025,20241023,PHI,WSH,2.10,3.80,2.75
2024-2025,20241023,FLA,MIN,2.00,3.80,3.00
2024-2025,20241023,NJD,TBL,2.00,4.00,2.90
2024-2025,20241023,BUF,DAL,2.95,3.85,2.00
2024-2025,20241023,MTL,NYR,4.33,4.33,1.57
2024-2025,20241023,CBJ,TOR,3.50,4.00,1.75
2024-2025,20241023,NYI,DET,1.90,3.95,3.20
2024-2025,20241023,STL,WPG,2.85,3.80,2.05
