season,date,team1,team2,odds1,oddsX,odds2,gameId
2024-2025,2024-10-04,BUF,NJD,2.95,3.9,2.0,2024020001.0
2024-2025,2024-10-05,NJD,BUF,2.05,3.9,2.8,2024020002.0
2024-2025,2024-10-08,SEA,STL,2.05,3.8,2.9,2024020003.0
2024-2025,2024-10-09,FLA,BOS,1.95,3.8,3.0,
2024-2025,2024-10-09,Unknown,CHI,1.85,3.95,3.25,
2024-2025,2024-10-10,MTL,TOR,3.45,4.0,1.77,
2024-2025,2024-10-10,PIT,NYR,2.88,3.85,2.05,
2024-2025,2024-10-10,EDM,WPG,1.85,3.95,3.25,
2024-2025,2024-10-10,VAN,CGY,1.77,4.0,3.45,
2024-2025,2024-10-10,VGK,COL,2.35,3.85,2.45,
2024-2025,2024-10-11,BOS,MTL,1.5,4.33,5.0,
2024-2025,2024-10-11,BUF,LAK,2.4,3.8,2.38,
2024-2025,2024-10-11,OTT,FLA,2.75,3.85,2.1,
2024-2025,2024-10-11,NJD,TOR,2.05,3.95,2.85,
2024-2025,2024-10-11,NYI,Unknown,2.1,3.8,2.8,
2024-2025,2024-10-11,DET,PIT,2.0,3.95,2.85,
2024-2025,2024-10-11,NSH,DAL,2.7,3.85,2.15,
2024-2025,2024-10-11,MIN,CBJ,1.53,4.33,4.5,
2024-2025,2024-10-11,SJS,STL,3.1,3.85,1.93,
2024-2025,2024-10-12,CAR,TBL,2.0,3.9,2.95,
2024-2025,2024-10-12,WPG,CHI,1.53,4.33,4.75,
2024-2025,2024-10-12,VAN,PHI,1.77,4.0,3.45,
2024-2025,2024-10-12,VGK,STL,1.73,4.0,3.65,
2024-2025,2024-10-12,BOS,LAK,1.95,3.85,3.0,2024020024.0
2024-2025,2024-10-13,BUF,FLA,2.4,3.75,2.38,
2024-2025,2024-10-13,TOR,PIT,1.8,4.0,3.4,
2024-2025,2024-10-13,MTL,OTT,2.95,3.9,2.0,
2024-2025,2024-10-13,DET,NSH,2.8,3.9,2.05,
2024-2025,2024-10-13,WSH,NJD,2.7,3.8,2.1,
2024-2025,2024-10-13,NYR,Unknown,1.75,4.0,3.6,
2024-2025,2024-10-13,DAL,NYI,1.9,3.9,3.2,
2024-2025,2024-10-13,MIN,SEA,2.1,3.8,2.8,
2024-2025,2024-10-13,COL,CBJ,1.44,4.75,5.25,
2024-2025,2024-10-13,CGY,PHI,2.15,3.8,2.65,
2024-2025,2024-10-13,EDM,CHI,1.42,4.75,5.5,
2024-2025,2024-10-13,SJS,ANA,2.7,3.85,2.1,
2024-2025,2024-10-14,WPG,MIN,1.95,3.85,3.0,
2024-2025,2024-10-14,DAL,SEA,1.85,3.9,3.25,
2024-2025,2024-10-14,EDM,CGY,1.55,4.5,4.33,
2024-2025,2024-10-14,VGK,ANA,1.5,4.5,4.75,
2024-2025,2024-10-14,BOS,FLA,2.15,3.75,2.65,2024020042.0
2024-2025,2024-10-14,OTT,LAK,2.38,3.8,2.4,2024020043.0
2024-2025,2024-10-14,NJD,Unknown,1.95,3.95,3.0,
2024-2025,2024-10-15,NYR,DET,1.6,4.33,4.2,
2024-2025,2024-10-15,MTL,PIT,2.8,3.85,2.05,
2024-2025,2024-10-15,COL,NYI,2.0,3.9,2.95,
2024-2025,2024-10-16,TBL,VAN,2.1,4.4,2.7,
2024-2025,2024-10-16,WSH,VGK,2.7,4.33,2.15,
2024-2025,2024-10-16,CAR,NJD,1.95,4.33,3.0,
2024-2025,2024-10-16,CBJ,FLA,3.0,4.4,2.0,
2024-2025,2024-10-16,STL,MIN,2.5,4.2,2.3,
2024-2025,2024-10-16,NSH,SEA,1.83,4.4,3.35,
2024-2025,2024-10-16,DAL,SJS,1.44,5.0,5.75,
2024-2025,2024-10-16,CGY,CHI,2.0,4.33,2.95,
2024-2025,2024-10-16,EDM,PHI,1.77,4.6,3.7,
2024-2025,2024-10-17,PIT,BUF,2.3,3.85,2.5,
2024-2025,2024-10-17,TOR,LAK,1.77,4.0,3.45,
2024-2025,2024-10-17,COL,BOS,2.1,3.95,2.7,
2024-2025,2024-10-17,ANA,Unknown,3.0,3.9,1.95,
2024-2025,2024-10-18,MTL,LAK,2.75,3.8,2.1,
2024-2025,2024-10-18,OTT,NJD,2.8,3.9,2.05,
2024-2025,2024-10-18,TBL,VGK,2.0,3.85,2.9,
2024-2025,2024-10-18,FLA,VAN,2.45,3.75,2.35,
2024-2025,2024-10-18,WSH,DAL,2.95,3.85,2.0,
2024-2025,2024-10-18,CBJ,BUF,2.85,3.85,2.05,
2024-2025,2024-10-18,DET,NYR,2.95,3.9,2.0,
2024-2025,2024-10-18,STL,NYI,2.85,3.8,2.05,
2024-2025,2024-10-18,NSH,EDM,2.55,3.9,2.2,
2024-2025,2024-10-18,CHI,SJS,1.83,3.95,3.35,
2024-2025,2024-10-18,SEA,PHI,2.1,3.85,2.7,
2024-2025,2024-10-19,PIT,CAR,3.1,3.95,1.93,
2024-2025,2024-10-19,WPG,SJS,1.4,4.75,6.0,
2024-2025,2024-10-19,COL,ANA,1.55,4.33,4.33,
2024-2025,2024-10-19,OTT,TBL,2.75,3.9,2.05,2024020075.0
2024-2025,2024-10-19,NSH,DET,1.8,4.0,3.4,2024020076.0
2024-2025,2024-10-19,DAL,EDM,2.5,3.8,2.3,2024020077.0
2024-2025,2024-10-20,FLA,VGK,2.25,3.75,2.6,
2024-2025,2024-10-20,TOR,NYR,2.15,3.85,2.65,
2024-2025,2024-10-20,NJD,WSH,1.8,4.0,3.4,
2024-2025,2024-10-20,NYI,MTL,1.62,4.2,4.0,
2024-2025,2024-10-20,PHI,VAN,2.9,3.85,2.0,
2024-2025,2024-10-20,CBJ,MIN,3.3,3.95,1.83,
2024-2025,2024-10-20,STL,CAR,3.1,3.9,1.93,
2024-2025,2024-10-20,CHI,BUF,2.9,3.85,2.0,
2024-2025,2024-10-20,Unknown,BOS,2.8,3.85,2.1,
2024-2025,2024-10-20,SEA,CGY,2.05,3.85,2.88,
2024-2025,2024-10-20,WPG,PIT,2.15,3.85,2.7,2024020088.0
2024-2025,2024-10-21,SJS,COL,4.75,4.5,1.5,
2024-2025,2024-10-21,ANA,LAK,3.3,3.95,1.83,
2024-2025,2024-10-22,TOR,TBL,2.05,3.9,2.75,
2024-2025,2024-10-23,PHI,WSH,2.1,3.8,2.75,
2024-2025,2024-10-23,FLA,MIN,2.0,3.8,3.0,
2024-2025,2024-10-23,NJD,TBL,2.0,4.0,2.9,
2024-2025,2024-10-23,BUF,DAL,2.95,3.85,2.0,
2024-2025,2024-10-23,MTL,NYR,4.33,4.33,1.57,
2024-2025,2024-10-23,CBJ,TOR,3.5,4.0,1.75,
2024-2025,2024-10-23,NYI,DET,1.9,3.95,3.2,
2024-2025,2024-10-23,STL,WPG,2.85,3.8,2.05,
2024-2025,2024-10-23,CHI,VAN,3.35,3.9,1.83,
2024-2025,2024-10-23,SEA,COL,2.65,3.85,2.15,
2024-2025,2024-10-23,NSH,BOS,2.1,3.85,2.8,
2024-2025,2024-10-23,EDM,CAR,2.25,3.85,2.55,
2024-2025,2024-10-23,Unknown,OTT,2.3,3.85,2.5,
2024-2025,2024-10-23,CGY,PIT,2.25,3.85,2.5,
2024-2025,2024-10-23,ANA,SJS,1.95,3.85,3.0,
2024-2025,2024-10-23,VGK,LAK,2.2,3.75,2.6,
2024-2025,2024-10-24,WSH,PHI,2.05,3.85,2.85,
2024-2025,2024-10-25,BOS,DAL,2.3,3.75,2.5,
2024-2025,2024-10-25,TOR,STL,1.57,4.2,4.33,
2024-2025,2024-10-25,DET,NJD,3.2,4.0,1.9,
2024-2025,2024-10-25,TBL,MIN,1.95,3.9,3.0,
2024-2025,2024-10-25,NYR,FLA,2.0,3.85,2.95,
2024-2025,2024-10-25,CGY,CAR,3.45,4.0,1.8,
2024-2025,2024-10-25,Unknown,COL,2.75,3.9,2.1,
2024-2025,2024-10-25,SEA,WPG,2.7,3.8,2.15,
2024-2025,2024-10-25,LAK,SJS,1.5,4.33,5.0,
2024-2025,2024-10-26,VGK,OTT,2.2,3.85,2.6,
2024-2025,2024-10-26,NJD,NYI,2.3,3.8,2.45,
2024-2025,2024-10-26,CHI,NSH,3.3,3.95,1.85,
2024-2025,2024-10-26,EDM,PIT,1.6,4.33,4.0,
2024-2025,2024-10-26,BUF,DET,2.05,3.9,2.85,2024020122.0
2024-2025,2024-10-26,PHI,MIN,2.75,3.8,2.15,2024020123.0
2024-2025,2024-10-26,LAK,Unknown,2.0,3.85,2.9,
2024-2025,2024-10-27,BOS,TOR,2.55,3.8,2.25,
2024-2025,2024-10-27,MTL,STL,2.6,3.8,2.25,
2024-2025,2024-10-27,TBL,WSH,1.91,3.95,3.1,
2024-2025,2024-10-27,NYR,ANA,1.48,4.5,5.0,
2024-2025,2024-10-27,CGY,WPG,2.5,3.85,2.3,
2024-2025,2024-10-27,NYI,FLA,2.8,3.8,2.1,
2024-2025,2024-10-27,NSH,CBJ,1.73,4.0,3.6,
2024-2025,2024-10-27,DAL,CHI,1.44,4.5,5.5,
2024-2025,2024-10-27,VAN,PIT,1.77,4.0,3.45,
2024-2025,2024-10-27,VGK,SJS,1.5,4.33,5.0,
2024-2025,2024-10-27,SEA,CAR,3.35,3.9,1.83,
2024-2025,2024-10-27,DET,EDM,4.2,4.8,1.57,2024020136.0
2024-2025,2024-10-28,NJD,ANA,1.44,5.5,5.25,
2024-2025,2024-10-28,PHI,MTL,1.9,4.5,3.1,
2024-2025,2024-10-28,COL,OTT,1.85,4.5,3.2,
2024-2025,2024-10-29,BUF,FLA,2.9,3.9,2.0,
2024-2025,2024-10-29,CBJ,EDM,4.2,4.33,1.57,
2024-2025,2024-10-29,TBL,NSH,2.05,3.85,2.8,
2024-2025,2024-10-29,WPG,TOR,2.45,4.33,2.4,
2024-2025,2024-10-29,COL,CHI,1.8,4.0,3.45,
2024-2025,2024-10-29,Unknown,SJS,1.6,4.75,4.5,
2024-2025,2024-10-29,VAN,CAR,2.65,4.33,2.25,
2024-2025,2024-10-29,VGK,CGY,1.9,3.95,3.1,
2024-2025,2024-10-30,BOS,PHI,1.91,4.0,3.1,
2024-2025,2024-10-30,MTL,SEA,3.1,3.9,1.9,
2024-2025,2024-10-30,OTT,STL,1.83,4.0,3.35,
2024-2025,2024-10-30,NYI,ANA,1.57,4.2,4.33,
2024-2025,2024-10-30,PIT,MIN,2.5,3.8,2.25,
2024-2025,2024-10-30,WSH,NYR,2.95,3.85,2.0,
2024-2025,2024-10-30,SJS,LAK,5.5,4.5,1.44,
2024-2025,2024-10-31,CBJ,NYI,2.7,3.8,2.15,
2024-2025,2024-10-31,DET,WPG,3.1,3.9,1.9,
2024-2025,2024-10-31,COL,TBL,2.45,3.9,2.3,
2024-2025,2024-10-31,Unknown,CGY,2.2,3.85,2.55,
